CNES;Estabelecimento de Saúde;Total de doses Aplicadas Bivalentes
2752387; UBS VILA SANTO ESTEVAO DR WOADY JORGE KALIL;24250
2264595; CLINICA DA FAMILIA TRISTEZA;23799
6414303; UNIDADE BASICA DE SAUDE ADRIANA M F DE C V BUENOS AIRES;23433
7937083; COORDENADORIA DE VIGILANCIA EPIDEMIOLOGICA;23090
7414226; SMS CMS HELIO PELLEGRINO AP 22;23065
2277603; CENTRO MUNICIPAL DE SAUDE DE DUQUE DE CAXIAS;22631
2280272; SMS CMS MARIA AUGUSTA ESTRELLA AP 22;21952
2243563; UNIDADE DE SAUDE JOSE ERASMO CROSSETTI EAP;21669
6883354; CLINICA DA FAMILIA SANTA MARTA;21538
2789132; UBS VILA OLIMPIA MAX PERLMAN;21231
2091321; CSE GERALDO DE PAULA SOUZA;21013
6374980; SECRETARIA MUNICIPAL DE SAUDE DO CABO DE SANTO AGOSTINHO;20875
2787113; UBS HUMAITA;20598
2751844; AMB ESPEC CECI DR ALEXANDRE K YASBECK;20529
2264838; UNIDADE DE SAUDE SAO CARLOS;20331
3359131; UBS VILA PRUDENTE;20276
235229; CEADIM VITORIA DE SANTO ANTAO;20252
3060209; DEPARTAMENTO DE EPIDEMIOLOGIA;20167
2561247; UAPS IRMA HERCILIA;20146
2752301; UBS JOSE DE BARROS MAGALDI;19791
2297655; CENTRO MUNICIPAL DE SAUDE DR ADALBERTO OTTO;19603
2274868; UNIDADE DE VIGILANCIA SANITARIA;19422
2261413; CENTRO DE SAUDE CAMILO GOMES;19358
2794632; POLICLINICA LEA FERREIRA TEIXEIRA;19252
2231506; PAM8;19031
7181035; MARIANA CENTRAL DE IMUNIZACAO;18586
2788063; UBS MANOEL JOAQUIM PERA;18461
5662699; UBS VILA MARIANA;18454
12602; POLICLINICA COMUNITARIA CARLOS ANTONIO DA SILVA;18386
2358700; UNIDADE MOVEL MEDICA;18165
2788578; UBS INDIANOPOLIS SIGMUND FREUD;18151
22764; CENTRO DE SAUDE PADRE TARCISIO;18015
6493122; SECRETARIA MUNICIPAL DE SAUDE;17664
2042967; UBS JARDIM DA SAUDE NEUSA ROSALIA MORALES;17615
2418657; HOSPITAL MUNICIPAL MARIA SANTANA ROCHA FRANCO;17504
2117010; CAPS 2 ESMERALDAS;17479
2030934; UBS GUARANI VARGAS;17416
2765993; UBS CHACARA SANTO ANTONIO DR MARCILIO DE ARRUDA PENTEADO F;17254
6802877; UNIDADE DE SAUDE PAULO FROTA;17135
2297213; POLO SANITARIO HELIO CRUZ;17104
7566875; USF CENTRO COLATINA;17076
2362295; SERVICO MUNICIPAL CAMPINA GRANDE REGIONAL SAUDE;17073
2522837; ESF PARQUE RES LARANJEIRAS;16937
7570554; SUPERINTENDENCIA DE VIGILANCIA EM SAUDE;16880
2291533; POLO SANITARIO DR WASHINGTON LUIZ LOPES;16743
11010; UBS 5 CEILANDIA;16546
2695766; CENTRO DE SAUDE CARLOS CHAGAS;16533
2789248; UBS VILA ROMANA;16478
5417708; SMS CF SOUZA MARQUES AP 33;16444
2715813; PROGRAMA MUNICIPAL DE IMUNIZACAO;16431
2211610; UBS ISMAEL LIBANIO UBS PUERICULTURA P ALEGRE;16374
2022729; CENTRO DE SAUDE CENTRO;16316
4197; UBS VIRGILIO DE CARVALHO;16241
2485885; UNIDADE DE SAUDE DA FAMILIA DE COQUEIRAL DE ITAPARICA;15957
3912698; UMS MAE CURITIBANA;15902
2091526; UBS SANTA CRUZ;15864
3233049; SECRETARIA MUNICIPAL DE SAUDE;15758
24090; CENTRO DE SAUDE OSWALDO CRUZ;15605
2787938; UBS JARDIM VERA CRUZ PERDIZES;15542
6902979; PROGRAMA DE SAUDE DA FAMILIA 17;15464
6905927; POLICLINICA DO VINHAIS;15410
2789256; AMA UBS VILA SONIA;15362
10707; UBS 1 ASA NORTE;15306
10928; UBS 02 TAGUATINGA;15293
2275597; CENTRO DE SAUDE COLETIVA PROFESSOR MANOEL JOSE FERREIRA;15228
7416547; CENTRAL DE VACINA;15136
2788640; UBS SANTO AMARO DR SERGIO VILLACA BRAGA;14910
2011743; USF DR JOSE RAYOL DOS SANTOS;14835
2027461; UBS PARQUE DA LAPA;14816
2027380; UBS MENINOPOLIS MARIO FRANCISCO NAPOLITANO;14794
3471403; SECRETARIA MUNICIPAL DE SAUDE DE ITABAIANA;14729
9805613; CAF CENTRAL DE ABASTECIMENTO FARMACEUTICO DE TAUA;14708
2277328; SMS CMS OSWALDO CRUZ AP 10;14631
5484456; UMS SANTA QUITERIA II;14598
2789205; AMA UBS VILA PREL ANTONIO BERNARDES DE OLIVEIRA;14544
2789620; CAIS DE ITUMBIARA;14519
2280779; SMS CMS NECKER PINTO AP 31;14463
3452689; UBS CAMPO GRANDE;14425
9326; UBS CENTRO I;14357
2708167; SMS CMS CESAR PERNETTA AP 32;14279
6212131; SECRETARIA MUNICIPAL DE SAUDE DE NOVA IGUACU;14242
11118; UBS 01 GUARA;14061
2042258; UBS MOOCA I;13980
2272083; NUCLEO DE SAUDE COLETIVA;13948
2752166; AMA UBS AGUA RASA;13927
2788683; UBS VILA ANGLO JOSE SERRA RIBEIRO;13914
2216574; POSTO DE ATENDIMENTO MEDICO;13894
24147; CENTRO DE SAUDE SANTA RITA DE CASSIA;13876
2504324; UNIDADE SANITARIA CENTRAL DE LAGES;13797
2818841; CENTRO DE VIGILANCIA DE RIO GRANDE;13793
2528584; UAPS MIRIAM MOTA;13784
2751933; HOSPITAL DIA PENHA;13727
2435748; CENTRO DE ESPECIALIDADES MEDICAS DE SAO LOURENCO DA MATA;13715
2247747; POSTO DE ATENDIMENTO MEDICO;13622
3653692; UBSF VALDOMIRO GALDINO DA SILVA;13598
106585; CENTRAL DE REDE DE FRIOS MUNICIPAL;13542
6590101; SECRETARIA MUNICIPAL DE SAUDE;13466
7995520; SMS CF MAICON SIQUEIRA AP 40;13433
2078015; HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO;13423
9067078; SMS CF ODALEA FIRMO DUTRA AP 22;13409
3115; US AVILA NABUCO MEDICI;13365
3028003; UBS 14 CDP SAO SEBASTIAO;13308
144924; REDE DE FRIO ARMAZENAMENTO E DISTRIBUICAO DE VACINAS E IMU;13303
164372; REDE DE FRIO;13298
16764; UMS VILA GUAIRA;13279
11266; UBS 02 GUARA;13123
2040476; UBDS DR ITALO BARUFFI CASTELO BRANCO NOVO RIBEIRAO PRETO;13108
2380; US HUGO GURGEL COROA DO MEIO;13089
6919626; SMS CF SERGIO NICOLAU AMIN AP 32;13021
2777525; UNIDADE BASICA DE SAUDE ANTENOR NEIVA;13006
2027674; UBS VILA NIVI;12888
9391983; SMS CMS JOSE PARANHOS FONTENELLE AP 31;12872
2049414; CENTRO DE SAUDE DRA ROSA CHELMINSK TEIXEIRA ARARAS;12811
2416417; CENTRO DE SAUDE DE ILHEUS;12770
7003390; CENTRAL DE REDE DE FRIO DE ARAPIRACA;12764
2269295; SMS CMS CLEMENTINO FRAGA AP 33;12682
2034387; UBS PONTA DA PRAIA;12642
7108923; UBS 01 AGUAS CLARAS;12566
9316353; PROTEGER VACINAS;12528
2786966; UBS CUPECE DR WALDOMIRO PREGNOLATTO;12520
7603258; CLINICA MUNICIPAL GONCALENSE;12513
2269732; SMS CMS CARMELA DUTRA AP 33;12493
17515; UMS BACACHERI;12488
2788330; UBS PARQUE IMPERIAL MANOEL ANTONIO DA SILVA SARAGOCA;12472
2529246; UAPS LUCIA DE SOUSA BELEM;12445
2014750; USF AUGIAS GADELHA;12393
2027631; UBS JOAQUIM ANTONIO EIRADO;12361
2787253; AMA UBS JARDIM CASTRO ALVES DRA MARIA CRISTINA F;12157
2487225; UNIDADE DE SAUDE DA FAMILIA LIRIO DOS VALES;12142
2752360; UBS VILA NOVA MANCHESTER DR ARLINDO GENNARI;12094
10731; UBS 1 CRUZEIRO;12072
2269805; SMS CMS MILTON FONTES MAGARAO AP 32;11992
5324904; LAGOA SANTA UNIDADE BASICA DE SAUDE CENTRO;11969
3913007; CS ESCOLA BARRA FUNDA ALEXANDRE VRANJAC;11957
2296535; SMS CMS NAGIB JORGE FARAH AP 31;11915
2091348; CS ESCOLA SAMUEL B PESSOA;11863
2789116; AMA UBS VILA NOVA JAGUARE;11787
9759476; CENTRAL DE IMUNIZACAO;11749
3503488; UBS ALTO DE PINHEIROS DR SUEL ABUJAMRA;11729
63428; USF SAN MARTIN III;11718
11126; UBS 01 NUCLEO BANDEIRANTE;11706
2058502; HOSPITAL DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO;11702
2328852; UBS AGUAS LINDAS;11700
6298524; CENTRO INTEGRADO DA MULHER;11700
2560895; CENTRO DE ESPECIALIDADES MEDICAS DE IGUATU;11685
6449409; SECRETARIA MUNICIPAL DE SAUDE DE GOIANIA;11676
6664075; SMS CF FELIPPE CARDOSO AP 31;11642
12033; UNIDADE BASICA DE SAUDE JARDIM CAMBURI RAUL OLIVEIRA NEVES;11628
3738604; UBS PARQUE MARIA DOMITILA;11620
2293749; POLICLINICA WALTER GOMES FRANCKLIN;11598
2789302; UBS VELEIROS;11580
2296586; SMS CMS NASCIMENTO GURGEL AP 33;11567
2288346; SMS CMS MARCOLINO CANDAU AP 10;11560
2264528; UNIDADE DE SAUDE CAMAQUA;11528
2264331; CLINICA DA FAMILIA NAVEGANTES;11398
2281481; CENTRO MUNICIPAL DE ESPECIALIDADES ENGENHEIRO PEDREIRA;11390
2788829; UBS VILA DAS MERCES;11366
2367440; PSF MARAVILHA;11351
7669720; CASA DA VACINA ENFERMEIRA BERNADETTE FRANCO PACHECO;11268
6194990; AMA UBS INTEGRADA CHACARA CRUZEIRO DO SUL ZELIA L M DORO;11250
6213545; SECRETARIA MUNICIPAL DE SAUDE;11247
2037548; UBS VILA MARCHI;11126
2270250; SMS CMS ERNESTO ZEFERINO TIBAU JR AP 10;11089
2788918; UBS VILA FORMOSA I DR ANTONIO DA SILVEIRA E OLIVEIRA;11079
3522776; UNIDADE DE SAUDE DA FAMILIA VILA SANTA ROSA;11065
482420; CENTRO MUNICIPAL DE VACINACAO COVID CURITIBA;11062
2068966; CSI DR VICTOR ARAUJO HOMEM DE MELLO PINHEIROS SAO PAULO;11023
2786826; UBS BUTANTA;10969
2369850; CENTRO DE SAUDE III;10955
2029618; UBS BOM RETIRO OCTAVIO AUGUSTO RODOVALHO;10906
5675278; UNIDADE BASICA DE SAUDE DA FAMILIA DR LUIZ CONRADO MANSANI;10904
2788861; UBS VILA ESPERANCA DR CASSIO BITENCOURT FILHO;10891
2339528; UPA DR DOMINGOS VIGGIANO UPA JARDIM AMERICA;10834
2023946; UBS BENEDITO DE OLIVEIRA CRUDO;10818
2027666; UBS CHORA MENINO;10804
2752174; UBS BELENZINHO MARCUS WOLOSKER;10760
10227; SESAU UBS JAIR GARCIA DE FREITAS 26 DE AGOSTO;10749
2271877; POLICLINICA CENTRO DR SYLVIO HENRIQUE BRAUNE;10743
2752379; AMA UBS VILA ORATORIO DR TITO PEDRO MASCELLANI;10731
2787474; UBS JARDIM ICARAI QUINTANA;10720
22926; CENTRO DE SAUDE HORTO;10712
3964; UBS PROF MARIO ANDREA;10681
22918; CENTRO DE SAUDE MARCO ANTONIO DE MENEZES;10669
2786877; UBS CAXINGUI NANCI ABRANCHES;10640
9131795; SMS CF ERIVALDO FERNANDES NOBREGA AP 32;10623
12726; POLICLINICA COMUNITARIA DE ITAIPU;10609
2403412; UNIDADE DE SAUDE DA FAMILIA TERRA VERMELHA;10604
2487691; SECRETARIA DE SAUDE DE VITORIA DA CONQUISTA;10589
9816445; USF 6 TIMBAUVA;10535
4050142; AMA UBS INTEGRADA JOSE BONIFACIO III DRA LUCY MAYUMI UDAKIRI;10528
2787598; UBS VILA GUMERCINDO PROF JANDIRA MASSUR;10511
2788500; UBS RIO PEQUENO PAULO DE BARROS FRANCA;10502
10936; UBS 03 TAGUATINGA;10441
2482231; UAPS LUIS COSTA;10398
2759136; POSTO DE PUERICULTURA MUNICIPAL;10393
2708108; CENTRO DE SAUDE GIOVANNA GALLI;10370
17248; UMS VISITACAO;10368
2755068; UNIDADE BASICA DE SAUDE CENTRO PINDAMONHANGABA;10346
2529327; UAPS PAULO MARCELO;10321
11037; UBS 7 CEILANDIA;10309
9186492; UBS JARDIM COLOMBO;10307
2771977; UNIDADE DE SAUDE DA FAMILIA DR PAULO VARGAS;10303
11878; UNIDADE BASICA DE SAUDE JARDIM DA PENHA OTAVIANO R CARVALHO;10297
6272053; SMS CF SANTA MARTA AP 21;10287
9536256; USF CURRALINHO;10275
2270560; SMS CMS MASAO GOTO AP 51;10266
57460; USF IMBUI;10240
2022672; CENTRO DE SAUDE JARDIM AURELIA;10237
5762979; UNIDADE DE SAUDE ANFRISIO LOBAO;10203
2788756; AMA UBS VILA BARBOSA;10165
23388; CENTRO DE SAUDE NORALDINO DE LIMA;10110
9136118; CENTRO MUNICIPAL DE IMUNIZACAO;10103
5390044; HOSPITAL E MATERNIDADE DE ABREU E LIMA;10076
2788004; UBS JOSE MARCILIO MALTA CARDOSO;10071
2451239; SECRETARIA MUNICIPAL DE SAUDE DE BARREIRINHAS;10070
2674084; ESF TAEPE;10059
172227; PNI DE GRAVATA;10032
5975220; UBS SE;9965
2066629; UBS OSWALDO PACCINI ATIBAIA;9962
2099446; POLICLINICA DE VICOSA;9945
7485328; SECRETARIA MUNICIPAL DA SAUDE DE MAURITI;9929
7128940; UBS JARDIM MIRIAM II;9922
9071385; SMS CF ARTHUR BISPO DO ROSARIO AP 40;9886
10995; UBS 3 CEILANDIA;9845
495980; CENTRAL DE VACINAS;9806
2013916; USF DR ALFREDO CAMPOS;9800
2788691; AMA UBS VILA ANTONIETA;9800
2045451; UBS VILA ALPINA DR HERMINIO MOREIRA;9756
2358522; UNIDADE DE SAUDE DA FAMILIA ARACAS;9751
2787156; UBS JD AEROPORTO DR MASSAKI UDIHARA;9738
2072327; UBS TRANQUILIDADE;9730
2453835; UBS BAIXINHA;9720
11223; UBS 1 SOBRADINHO;9716
2116170; CAETE POLICLINICA MUNICIPAL DE CAETE;9678
2415372; CENTRO DE ESPECIALIDADES DO CRATO;9642
2775565; PSF N SRA DAS GRACAS;9625
2788985; UBS VILA IPOJUCA WANDA COELHO DE MORAES;9613
8788; UBS VILA LUZITA;9582
2801094; UBS CENTRO;9567
3107728; UNIDADE DE SAUDE DA FAMILIA GENESY VIEIRA SOYER;9560
9981691; APS 10 CENTRO DE IMUNIZACAO TELMO MADER;9540
3893227; CENTRO MEDICO MUNICIPAL DE CALDAS NOVAS;9540
2792583; CENTRAL MUNICIPAL SALA DE VACINA;9533
4056310; SMS UNIDADES PRISIONAIS DE ATENCAO PRIMARIA AP 51;9530
2013894; USF MARIA LEONOR BRILHANTE;9527
2270420; SMS CMS WALDYR FRANCO AP 51;9523
2182203; UBR ARLETE DE SOUZA OLIVEIRA;9518
2237245; UNIDADE DE SAUDE ASSIS BRASIL;9504
2270331; SMS POLICLINICA CARLOS ALBERTO NASCIMENTO AP 52;9497
2230933; CASA DE VACINAS CENTRO DE IMUNIZACAO;9477
2339560; CENTRO DE SAUDE PARQUE AMAZONIA;9468
6461476; SMS DE PARANAGUA;9426
2068079; UBS CARANDIRU;9424
2013886; USF MJ PM SALVIO BELOTA;9378
9496777; UBS TIBERY;9375
2752352; UBS VILA CARRAO DR ADHEMAR MONTEIRO PACHECO;9356
2220008; ESF CENTRO E SAO TARCISIO E EAP CENTRO;9354
2044285; UBS NELSON BARRIONOVO CAMPOS ELISEOS;9352
2751984; AMB ESPEC TUCURUVI ARMANDO DE AGUIAR PUPO;9345
2723743; UNID BASICA DE SAUDE CORONEL RAIMUNDO DE OLIVEIRA;9335
2055430; UBS CENTRAL DE PIEDADE;9290
10952; UBS 06 TAGUATINGA;9285
8958; UBS CENTRO;9271
2786907; UBS CIDADE LIDER;9265
7108265; SMS CF DANTE ROMANO JUNIOR AP 33;9259
2788454; AMA UBS PARQUE SANTO ANTONIO;9237
2274302; CENTRO MUNICIPAL DE IMUNIZACAO;9227
2022699; CENTRO DE SAUDE TAQUARAL;9216
4050010; UBS GUAIANASES II;9211
2264811; UNIDADE DE SAUDE VILA IPIRANGA;9149
6869009; SMS CF ANA MARIA CONCEICAO DOS SANTOS CORREIA AP 33;9118
2600366; US AUGUSTO FRANCO;9103
2055139; UNIDADE DE SAUDE DA FAMILIA CERRADO SOROCABA;9097
2047373; CENTRO DE SAUDE II DR ARCY BANDEIRA IBIUNA SP;9093
191981; CENTRAL DE IMUNIZACAO BELO JARDIM;9091
199338; SMS CF ADV MARIO PIRES DA SILVA AP 33;9090
6048633; UBS BORACEA;9070
2043750; UBS CONSELHEIRO NEBIAS;9060
22772; CENTRO DE SAUDE MENINO JESUS;9044
2787873; AMA UBS INTEGRADA JD SANTO ANDRE;9044
2045400; UBS VILA DAYSE;9040
7892810; SMS CF BARBARA MOSLEY DE SOUZA AP 40;9036
3784975; SMS CF ZILDA ARNS AP 31;9015
2425866; CENTRO DE DERMATOLOGIA;9014
7941412; ESF XIX CENTRO JORGE MOLZ WESTPHALEN;9014
6393373; SECRETARIA MUNICIPAL DE SAUDE DE SOUSA;9010
2224178; POSTO MEDICO CENTRAL;9002
7892829; SMS CF HELENA BESSERMAN VIANNA AP 40;8986
22993; CENTRO DE SAUDE PARAISO;8983
10863; UBS 5 GAMA;8979
2788993; UBS VILA IZOLINA MAZZEI;8971
9059369; UBS JARDIM ORION GUANHEMBU;8965
7302541; UBS JARDIM EDITE GERONCIO HENRIQUE NETO;8904
2788047; AMA UBS LAUZANE PAULISTA;8892
2788519; UBS SACOMA EDMUNDO SUSSUMU FUJITA;8888
2069598; UBS DR ANIZ BONEDER CENTRAL TATUI SP;8879
7588577; POLICLINICA HOSPITAL DUQUE DE CAXIAS;8875
2415593; UAPS CARLOS RIBEIRO;8863
104698; USF ITAPUA;8839
2789191; UBS VILA PRAIA VITORIO ROLANDO BOCCALETTI;8830
2050218; UBS HELIO LOURENCO DE OLIVEIRA SANTA CRUZ;8806
2787911; UBS JD UMUARAMA;8801
9621512; DIRETORIA DE VIGILANCIA A SAUDE;8800
2465256; CENTRO DE SAUDE DJALMA MARQUES;8789
2012839; UNIDADE HOSPITALAR DE IRANDUBA;8786
2295032; SMS CMS MARIA CRISTINA ROMA PAUGARTTEN AP 31;8779
471933; CENTRAL DE REDE DE FRIO MUNICIPAL DE MORENO;8733
5456932; SMS FIOCRUZ ENSP CSE GERMANO SINVAL FARIA AP 31;8732
2695464; CENTRO DE SAUDE PADRE EUSTAQUIO;8721
2045346; UBS ALVES DIAS;8705
2140845; UNIDADE DO SAUDE BOM JESUS;8696
2529238; UAPS MATTOS DOURADO;8655
4049985; AMA UBS WAMBERTO DIAS DA COSTA;8651
2148692; POLICLINICA REGIONAL DR EDUARDO LEVINDO COELHO;8645
2479710; HOSPITAL E MATERNIDADE JOSE GRANJA RIBEIRO;8641
2788268; UBS PARQUE ARARIBA;8634
2751887; UBS JARDIM CLIPER;8601
2022664; CENTRO DE SAUDE BARAO GERALDO;8574
2034786; CENTRO DE SAUDE MARIA DO CARMO SOROCABA;8568
2027070; AMA UBS INTEGRADA PADRE MANOEL DA NOBREGA;8542
2788535; UBS SAO MATEUS NAIR ALVES DE REZENDE NORIMBENI;8524
2042991; AMA UBS DR GERALDO DA SILVA FERREIRA;8507
2408740; UBS SAO JOAO;8504
4046307; SMS CMS HAMILTON LAND AP 40;8486
2269503; SMS CMS EDUARDO A VILHENA AP 32;8469
2332973; UNIDADE MUNICIPAL DE SAUDE FATIMA;8453
7540345; UNIDADE SAUDE DA FAMILIA DONA EDIMEIA;8425
2091712; UBS DR WALTER ELIAS;8422
2788012; UBS CONJUNTO DO IPESP;8402
2491702; POLICLINICA MUNICIPAL CENTRAL;8397
25690; US MAX DE CARVALHO ROCHA LUZIA;8394
9686940; UBS MARTINS;8373
475602; CENTRO MUNICIPAL DE REDE DE FRIO DE FORMIGA;8368
5626552; UBS OSWALDO CRUZ;8340
2787148; UBS DR ILZA WELTMAN HUTZLER;8334
2269953; SMS CMS SALLES NETTO AP 10;8331
7729197; NUCLEO MUNICIPAL DE VIGILANCIA EM SAUDE;8330
24104; CENTRO DE SAUDE NOSSA SENHORA DE FATIMA;8324
2034840; UBS APARECIDA;8321
2046261; UBS ITAIM PAULISTA JULIO DE GOUVEIA;8313
6489532; SECRETARIA MUNICIPAL DE SAUDE DE LEOPOLDINA;8311
928682; LABORATORIO CIPAX;8311
213241; CENTRAL DE REDE DE FRIO PORTO VELHO;8278
2528657; UAPS RIGOBERTO ROMERO;8271
2751879; AMB ESPEC FREGUESIA DO O;8268
2334259; UNIDADE MUNICIPAL DE SAUDE DO GUAMA;8263
7996675; SMS CF GERSON BERGHER AP 40;8262
2277700; CRAIS SARACURUNA;8258
2334267; UNIDADE BASICA DE SAUDE DA PEDREIRA;8254
2789000; UBS VILA JACUI;8236
2752344; UBS VILA BERTIOGA DOMINGOS DELASCIO;8230
2789183; UBS VILA PIRITUBA;8195
3443922; UBS CENTRAL;8192
127744; REDE DE FRIO DO MUNICIPIO DE MARICA;8192
2037378; UBS SAO PEDRO;8181
2025531; UBS SANTA TEREZINHA;8177
7986505; SMS CF LUIZ CELIO PEREIRA AP 32;8158
2787504; UBS JARDIM JAPAO;8149
2788667; UBS UNIAO DAS VILAS DE TAIPAS;8139
2773244; UBS PREFEITO ALBERTO NUNES MARTINS;8135
2773236; UBS EURIPES DE FATIMA GALDINO PELE;8132
2786842; UBS CAMPO LIMPO;8131
2037750; UBS BAETA NEVES;8130
4050215; UBS V SANTANA;8123
3567508; SMS CMS RAPHAEL DE PAULA SOUZA AP 40;8119
9056963; UBS 01 VICENTE PIRES;8117
2044242; UBS CENTRO;8108
17035; UMS IRACEMA;8106
2036002; UBS JARDIM FLOR DA MONTANHA;8101
2237792; CLINICA DA FAMILIA MORRO SANTANA;8099
612; US 162 POLICLINICA ALBERT SABIN;8078
23205; CENTRO DE SAUDE LEOPOLDO CHRISOSTOMO DE CASTRO;8075
2042541; UBS DR JOSE TOLEDO PIZA;8066
2025329; UBS VILA GUIOMAR;8051
23914; CENTRO DE SAUDE JARDIM MONTANHES;8043
2787695; UBS JARDIM PERI;8036
9996478; UBS PLANALTO;8034
11177; UBS 1 LAGO NORTE;8028
6807; USF SANTA LUZIA;8026
2708426; SMS CMS ERNANI AGRICOLA AP 10;8023
470406; CENTRAL MUNICIPAL REDE DE IMUNOBIOLOGICOS CAMOCIM;8014
6283616; UBS PARQUE PAULISTANO;7996
2224461; UNIDADE SANITARIA DE TORRES;7994
433594; CLINICA DA FAMILIA ALVARO DIFINI;7991
2752212; UBS VILA AURORA DOMINGOS MAZZONETO DE CILO;7983
5695813; UBS JARDIM MARACA;7979
2695219; UNIDADE MUNICIPAL DE SAUDE DA MARAMBAIA;7977
4050045; UBS J SOARES;7970
2424215; CSF JUNCO;7963
6506232; SMS CF RINALDO DE LAMARE AP 21;7950
2052458; UBS EMBARE;7950
8605; UBS BAIRRO PARAISO;7948
6883184; CLINICA DA FAMILIA MOAB CALDAS;7947
2037556; UBS PLANALTO;7932
2786710; UBS DONA ADELAIDE LOPES;7919
2058391; HOSPITAL ISRAELITA ALBERT EINSTEIN;7918
2751917; AMB ESPEC MOOCA ITALO DOMINGOS LE VOCCI;7916
2789051; AMA UBS VILA MEDEIROS;7901
10758; UBS 2 CRUZEIRO;7891
2316048; UNIDADE MISTA DE AFUA;7888
2789167; AMA UBS VILA PEREIRA BARRETO;7865
2758288; CENTRO DE SAUDE ESCOLA ESTORIL;7859
461172; USF CLINICA DA FAMILIA PROFESSOR CARLSON GRACIE;7840
2788748; UBS V ARRIETE DECIO PACHECO PEDROSO;7828
2025213; PAMO VILA SAO CARLOS;7828
2338556; CIAMS URIAS MAGALHAES;7809
2054205; UBS GONZAGA;7794
2117169; POLICLINICA MUNICIPAL DE SAO JOAQUIM DE BICAS;7784
2015315; USF LEONOR DE FREITAS;7748
6927254; SMS CMS NEWTON BETHLEM AP 40;7745
5448603; SECRETARIA MUNICIPAL DE SAUDE DE MONTEIRO;7740
