CNES;Estabelecimento de Saúde;Total de Doses Aplicadas Monovalente;1ª Dose;2ª Dose;3ª Dose;Dose Reforço;1° Dose Reforço;2° Dose Reforço;3° Dose Reforço;Dose Adicional;Dose Única
2511444; SAE UNIDADE SANITARIA;760479;307332;304744;371;122580;248;7409;57;2863;14875
3551911; VIGILANCIA EPIDEMIOLOGICA;755909;306792;272852;37;146556;1270;16600;31;3259;8512
112496; PNI;883096;300836;271265;1677;209394;2582;59946;3133;4068;30195
2415593; UAPS CARLOS RIBEIRO;944982;297871;293608;241;200862;27020;101482;15961;2365;5572
6298109; SECRETARIA MUNICIPAL DE SAUDE DE CAMPOS DOS GOYTACAZES;757108;296230;271488;257;157942;185;14297;114;5650;10945
3523357; CENTRAL DE VACINAS;820589;293562;270811;1311;173737;371;65531;864;6664;7738
2579332; PAI PRONTO ATENDIMENTO INFANTIL;619932;290942;216060;99;92462;49;12333;0;2821;5166
2528754; UAPS ANASTACIO MAGALHAES;838164;290026;252945;110;169767;25557;80904;13303;1394;4158
3883; UBS RAMIRO DE AZEVEDO;897313;287022;234132;86;256108;0;99129;575;0;20261
6449409; SECRETARIA MUNICIPAL DE SAUDE DE GOIANIA;489186;281982;182112;18;13081;148;5915;19;1203;4708
7983409; VIGILANCIA EPIDEMIOLOGICA;555518;273069;246764;5;17067;9;5495;4;280;12825
433489; CENTRAL REDE DE FRIO MUNICIPL NUCLEO MUNCIPAL;659900;271204;219978;1291;100182;630;47079;753;10389;8394
2684144; UNIDADE BASICA DE SAUDE EGON ROSKAMP;740423;269703;239662;449;150202;115;44431;522;22568;12771
482420; CENTRO MUNICIPAL DE VACINACAO COVID CURITIBA;491991;266256;176158;1;39718;13;38;0;718;9089
7937083; COORDENADORIA DE VIGILANCIA EPIDEMIOLOGICA;783142;262233;250504;638;170548;1294;87946;659;2536;6784
7430671; REDE FRIO;402967;261381;100846;3262;16447;0;6325;23;10755;3928
2274868; UNIDADE DE VIGILANCIA SANITARIA;571792;257875;213126;387;73369;16;12903;483;5306;8327
6463541; SECRETARIA DE SAUDE DO PAULISTA;725065;250640;233600;2446;170776;2051;60072;1383;839;3258
7024452; UBS 01;790350;244576;235289;2;56767;3156;106708;744;135935;7173
6503640; US 134 DISTRITO SANITARIO IV RECIFE;614505;243958;228719;21927;66300;532;26361;25332;721;655
6508561; US 131 DISTRITO SANITARIO I RECIFE;637160;239743;217885;40306;81294;1054;31836;23488;621;933
3060209; DEPARTAMENTO DE EPIDEMIOLOGIA;589252;239250;197100;2972;100441;39;38486;345;1291;9328
2487691; SECRETARIA DE SAUDE DE VITORIA DA CONQUISTA;438788;238231;118273;781;51790;174;17460;204;7941;3934
2013916; USF DR ALFREDO CAMPOS;449323;236260;167136;29776;10786;1914;45;0;137;3269
109541; VIGILANCIA EPIDEMIOLOGICA DE PIRACICABA;502642;235624;208005;9;46427;847;5022;9;545;6154
9193235; COORDENACAO MUNICIPAL DE IMUNIZACAO;483620;234722;171743;380;51588;331;10997;160;4566;9133
2182203; UBR ARLETE DE SOUZA OLIVEIRA;550160;232671;203036;1373;62750;6;17213;550;19001;13560
7222122; UBS CLEMENTINO FRAGA;594168;231257;98972;17;161367;0;88531;763;0;13261
2243563; UNIDADE DE SAUDE JOSE ERASMO CROSSETTI EAP;617489;228503;215956;228;124027;9;40338;23;1266;7139
2682095; SMS DE SAO JOSE DOS PINHAIS;459192;223525;168612;31532;17050;0;921;2;6338;11212
6897029; US 376 POLICLINICA SALOMAO KELNER;594295;216921;202509;38175;78745;615;27652;28725;722;231
2482231; UAPS LUIS COSTA;811909;214951;215838;97;218181;28681;110958;15931;2272;5000
2529327; UAPS PAULO MARCELO;748332;212998;197056;104;181802;30243;103692;17235;2675;2527
7775504; US 139 DISTRITO SANITARIO VII RECIFE;601371;210818;187806;28636;90626;177;25363;56265;1503;177
3886689; SECRETARIA DE SAUDE DE CAMPINA GRANDE;365433;205971;70263;0;89081;0;0;0;118;0
6508510; US 136 DISTRITO SANITARIO VI RECIFE;724041;202749;207387;27455;142098;631;79076;62293;1997;355
9536256; USF CURRALINHO;433282;197192;150900;148;50058;0;31561;146;0;3277
6212131; SECRETARIA MUNICIPAL DE SAUDE DE NOVA IGUACU;521895;197132;182514;777;104913;96;30111;66;3581;2705
2291533; POLO SANITARIO DR WASHINGTON LUIZ LOPES;516629;197131;217796;870;63037;11;26591;1211;3909;6073
2456257; UNIDADE DE SAUDE DA FAMILIA VILA NOVA;400533;189115;156307;45;42012;88;2977;26;1996;7967
2773473; UBS ADELZUITA FERREIRA DOS SANTOS;324935;187732;113591;131;12039;437;4889;2;88;6026
2663805; CENTRO DE SAUDE PICADAS DO SUL;307092;187677;97572;1;11167;22;2081;6;354;8212
6716504; SECRETARIA MUNICIPAL DE SAUDE;531951;187533;163759;1472;102024;639;45866;865;18538;11255
2232022; HOSPITAL CENTENARIO;506139;187326;168606;19;104449;439;39160;40;1377;4723
7003390; CENTRAL DE REDE DE FRIO DE ARAPIRACA;436333;183233;154008;413;73386;177;20698;26;507;3885
287660; REDE FRIO CENTRAL MUNICIPAL DE IMUNOBIOLOGICOS;379992;180429;106579;779;67942;2536;16729;5;4622;371
5126770; NUCLEO DE VIGILANCIA EPIDEMIOLOGICA;404989;179512;142738;14;58479;21;9076;575;7438;7136
7669720; CASA DA VACINA ENFERMEIRA BERNADETTE FRANCO PACHECO;384934;177544;131847;1349;50270;232;16531;193;857;6111
2109867; HOSPITAL MUNICIPAL MONSENHOR FLAVIO DAMATO;475809;175884;157549;1252;98619;1114;26913;340;10179;3959
2297213; POLO SANITARIO HELIO CRUZ;395758;175717;121977;554;57678;4;32148;271;2098;5311
11150; UBS 1 ASA SUL;600686;175696;159926;1476;170045;1975;79584;347;2680;8957
2308444; CENTRO DE SAUDE AMAR;402189;171797;143180;55;61647;52;17623;2729;5042;64
6082378; SECRETARIA MUNICIPAL DE SAUDE PALHOCA;403828;166780;146805;57;77434;7;5813;0;710;6222
2269376; SMS CMS HEITOR BELTRAO AP 22;558728;166764;163097;1627;129887;148;82415;1510;8394;4886
6585604; PMM U B S MARABAIXO;476750;166475;186340;60;86550;343;12772;174;21838;2198
9375880; CENTRAL DE IMUNIZACAO;354187;166123;159062;74;19695;79;3065;52;645;5392
6374980; SECRETARIA MUNICIPAL DE SAUDE DO CABO DE SANTO AGOSTINHO;491968;162302;169404;506;111676;1;35362;567;3764;8386
9890327; US 314 USF RIO DA PRATA;386529;159252;124351;12583;48327;179;34621;6454;663;99
2231506; PAM8;440364;158919;145213;460;84711;1348;42969;893;1208;4643
3612392; UNIDADE DE VIGILANCIA EPIDEMIOLOGICA;285623;158178;90271;186;26034;702;8085;132;1925;110
4022; USF PROF EDUARDO MAMEDE;499498;158132;136234;11;124855;0;72163;381;0;7722
2277603; CENTRO MUNICIPAL DE SAUDE DE DUQUE DE CAXIAS;398908;156728;152199;1150;59769;536;23794;76;1270;3386
2754851; USAFA JARDIM DOS PASSAROS GUARUJA;238575;156343;50175;68;19365;356;7312;2;923;4031
7873565; SMS CF JOSE DE SOUZA HERDY AP 40;472000;156016;147747;478;104178;265;59571;203;893;2649
2297655; CENTRO MUNICIPAL DE SAUDE DR ADALBERTO OTTO;400365;152775;131599;784;62736;48;31363;401;16502;4157
2037378; UBS SAO PEDRO;314239;148824;110060;582;33942;1482;12270;9;374;6696
6636381; USF DO PONTO CERTO;245235;147526;71560;41;9932;218;2509;14;456;12979
4197; UBS VIRGILIO DE CARVALHO;348362;146623;110345;39;65459;0;19704;44;0;6148
2280795; SMS CMS JOAO BARROS BARRETO AP 21;473049;146569;146372;661;117164;163;54655;565;2920;3980
2510197; USF CENTRO DE SAUDE III;350766;145574;116306;85;63672;44;17563;628;2682;4212
2245930; CENTRAL DE VACINAS PMPF;212419;145268;41477;208;14543;385;4139;67;1070;5262
127744; REDE DE FRIO DO MUNICIPIO DE MARICA;391635;144600;131051;89;83737;267;27175;72;557;4087
2504324; UNIDADE SANITARIA CENTRAL DE LAGES;374259;143224;129884;435;71871;68;22239;434;647;5457
115487; CENTRAL DE IMUNOBIOLOGICOS MUNICIPAL;452026;141945;162035;3;114924;42;29130;62;1175;2710
2280078; CENTRO DE SAUDE JOSE C DE OLIVEIRA UBS CENTRO;351600;141036;124960;219;65453;0;9394;139;6580;3819
6475345; US 135 DISTRITO SANITARIO V RECIFE;384718;140386;117193;12237;59750;844;31280;21623;806;599
2453835; UBS BAIXINHA;357770;139474;114002;487;66695;46;26395;173;2287;8211
2745178; CENTRAL DE IMUNIZACAO;335746;138944;129965;311;54275;121;5299;44;528;6259
2416417; CENTRO DE SAUDE DE ILHEUS;362232;138464;122605;731;69401;221;27014;283;1567;1946
2825384; VIGILANCIA EPIDEMIOLOGICA;333853;138143;119356;529;55612;212;690;670;16349;2292
2230933; CASA DE VACINAS CENTRO DE IMUNIZACAO;276218;138139;86564;957;33411;266;10210;54;899;5718
22764; CENTRO DE SAUDE PADRE TARCISIO;400891;137864;109827;129;106808;0;33691;354;7910;4308
2494817; USF CIDADE VERDE;272708;137296;102658;5;23810;8;1002;2;573;7354
2639572; UMS OUVIDOR PARDINHO;542398;134772;149578;0;239303;341;1144;0;14465;2795
3464555; CENTRO MEDICO PMESP;266532;134696;128445;0;2327;114;899;3;17;31
2346117; USF BAIRRO NOVO I;364231;133384;122207;2621;76220;686;22915;560;3344;2294
3729559; SECRETARIA MUNICIPAL DE SAUDE DE PORTO ALEGRE;255382;130368;89113;0;17267;0;1258;2;474;16900
6461476; SMS DE PARANAGUA;347639;129546;118318;122;71688;310;668;1;21433;5553
4111; UBS SETE DE ABRIL;218032;126331;57737;0;22183;0;4340;2;0;7439
2288370; SMS CMS PINDARO DE CARVALHO RODRIGUES AP 21;406953;125529;119732;683;98316;196;57324;611;1649;2913
209546; CENTRAL DE REDE DE FRIO;248310;124880;95843;578;19394;97;5295;13;203;2007
3002586; USF DA LIBERDADE;363821;123283;112703;1603;84306;1;28179;1055;104;12587
5272378; VIGILANCIA EPIDEMIOLOGICA DE OSASCO;197335;121628;22801;10;49732;377;872;1;121;1793
2272083; NUCLEO DE SAUDE COLETIVA;329192;120868;110762;360;64803;15;28808;53;171;3352
2344726; POLICLINICA OURO PRETO;359396;120853;125434;106;78867;277;31393;707;431;1328
2049414; CENTRO DE SAUDE DRA ROSA CHELMINSK TEIXEIRA ARARAS;342840;120796;114882;325;78650;1072;22360;4;934;3817
2794632; POLICLINICA LEA FERREIRA TEIXEIRA;342742;119836;114115;1004;65725;844;19977;142;18325;2774
6508960; US 133 DISTRITO SANITARIO III RECIFE;347066;119383;111682;19177;55637;466;27109;12854;589;169
2844; US ONESIMO PINTO FILHO JARDIM CENTENARIO;387245;119273;163923;522;69355;0;23809;1224;872;8267
2773317; PRO HIPER;351569;117872;114838;1;83016;590;24825;2;1456;8969
5416930; UNIDADE DE ATENCAO PRIMARIA SAUDE DA FAMILIA DR ROMEU MILANI;327279;116457;107423;39;68835;72;26854;104;499;6996
447455; CENTRAL MUNICIPAL DE REDE DE FRIO SAO VICENTE;382193;115556;118501;496;99426;2321;40920;2;468;4503
3522776; UNIDADE DE SAUDE DA FAMILIA VILA SANTA ROSA;284003;114411;98731;404;48599;1290;16460;78;1100;2930
2708213; SMS CMS HARVEY RIBEIRO DE SOUZA FILHO AP 40;357208;114377;117736;876;78982;633;40345;325;431;3503
7995520; SMS CF MAICON SIQUEIRA AP 40;306669;114011;103343;215;64730;255;20964;127;596;2428
6883303; CLINICA DA FAMILIA IAPI;380509;113833;110994;890;81688;1670;54751;482;9951;6250
2424215; CSF JUNCO;216630;113662;48716;1035;28320;1902;18060;90;303;4542
7449720; VIGILANCIA EPIDEMIOLOGICA;266590;112664;96219;13;41342;1;13035;166;1217;1933
7313667; UNIDADE DE SAUDE CENTRAL;262176;111850;98903;33;41653;68;4631;8;249;4781
7574711; CENTRAL MUNICIPAL DE REDE DE FRIO DE PORTO SEGURO;268347;111773;96485;32;47798;44;8283;310;1845;1777
2345064; POLICLINICA SAO BENEDITO;305335;111020;101814;8;70292;29;20522;70;228;1352
2708434; SMS CMS MANOEL JOSE FERREIRA AP 21;393593;110969;110121;1406;97848;94;65067;734;4702;2652
2054957; VIGILANCIA EPIDEMIOLOGICA MARILIA;200172;110572;75842;0;8125;151;1104;0;19;4359
106585; CENTRAL DE REDE DE FRIOS MUNICIPAL;293808;110118;92635;1643;57842;3205;18680;2900;712;6073
13048; UNIDADE BASICA DE SAUDE DO CENTRO;253514;110097;104951;0;28241;0;2119;0;408;7698
2484226; US SAO MATEUS US3 CENTRO DE SAUDE;276303;109320;93988;64;51031;770;13050;780;2762;4538
5347351; UNIDADE BASICA DE SAUDE MARIA DULCE CUNHA SAO JOAO;313335;108443;76217;2225;70227;1000;52602;659;722;1240
2097680; CENTRO DE SAUDE VILA SANTANA;276527;107816;102106;107;52956;773;7252;0;1972;3545
2485885; UNIDADE DE SAUDE DA FAMILIA DE COQUEIRAL DE ITAPARICA;297976;106591;97391;246;68935;969;8688;647;12462;2047
2296543; SMS CMS JORGE SALDANHA BANDEIRA DE MELLO AP 40;344526;105769;103176;1102;80851;1186;47753;459;1628;2602
2146223; SECRETARIA MUNICIPAL DE SAUDE DE ARAGUARI;277627;105506;97908;30;57501;205;12802;43;491;3141
533076; DRIVE THRU PARA VACINACAO CONTRA COVID 19 PARQUE AYRTON SE;179010;105457;62614;10939;0;0;0;0;0;0
2442728; HOSPITAL MUNICIPAL BOM JESUS;255769;104557;75982;102;31093;26;13478;187;24007;6337
2117258; SABARA CENTRO DE SAUDE SIDERURGICA;229514;104436;84877;709;27991;61;8445;106;552;2337
5114314; UNIDADE BASICA DE SAUDE SAO VICENTE;271625;104137;94019;521;52774;0;16399;0;273;3502
77453; CARRETA DA SAUDE;180183;104110;67367;0;5226;72;268;0;106;3034
2025922; CEM CENTRO DE ESPECIALIDADES MEDICAS MANOEL DOS S QUELHAS;293627;103306;100484;0;63939;492;22034;9;460;2903
5408032; UNIDADE BASICA DE SAUDE CASAS POPULARES;195896;102681;71998;18;17412;3;2561;17;1168;38
10626; UBS 05 TAGUATINGA;177934;102080;36173;164;27330;531;9061;303;634;1658
2435748; CENTRO DE ESPECIALIDADES MEDICAS DE SAO LOURENCO DA MATA;279647;101848;92754;520;60087;2065;20644;373;18;1338
2604329; USF SANTA ISABEL II;174405;101388;64291;0;2509;0;1;0;1690;4526
3810984; UNIDADE BASICA DE SAUDE RIBEIRAO PIRES;240945;100936;89700;104;33090;513;12993;3;251;3355
5871824; COPIM COORDENACAO MUNICIPAL DE IMUNIZACAO;199941;100894;60442;156;25626;497;10267;144;101;1814
7911076; CEMEQ CENTRO DE ESPECIALIDADE FRANCISCO VIRGILIO DA C PRADO;218182;100209;82166;20;27002;143;3439;10;1992;3201
2533499; CENTRO MEDICO DE ESPECIALIDADES ILHA;263000;99098;90208;192;58348;34;12893;31;1079;1117
3233049; SECRETARIA MUNICIPAL DE SAUDE;279508;98709;90730;446;59915;1709;26111;27;75;1786
2264390; CLINICA DA FAMILIA MODELO;405820;98634;104556;489;119454;144;76474;876;3628;1565
16705; UMS SANTA QUITERIA;200713;98148;85380;61;13742;346;123;0;1412;1501
7112831; UPA 24 HORAS TIPO III DOM HELDER CAMARA;136973;98052;38915;0;6;0;0;0;0;0
3005909; UBS DR ALVARO RIBEIRO CEO I;215618;97432;76705;247;28774;799;7655;4;210;3792
2456869; CENTRO DE SAUDE VILA BACANGA EMBRIAO;214564;97334;74102;41;36603;2;1259;976;810;3437
2060957; EXPRESSO SAUDE;177477;96400;70969;0;5477;213;320;0;392;3706
2786834; UBS CAMBUCI;296531;96220;87471;492;71943;1871;34342;62;740;3390
3615251; USF VARZEA DR DELIO BORGES DA FONSECA;258287;95703;98776;10;59160;0;515;23;1836;2264
6902979; PROGRAMA DE SAUDE DA FAMILIA 17;282356;95224;90456;989;65480;341;26518;24;1686;1638
2449641; HGM HOSPITAL GERAL MUNICIPAL DR MARCOLINO JR;236770;95205;78291;442;41768;1235;18003;22;587;1217
144924; REDE DE FRIO ARMAZENAMENTO E DISTRIBUICAO DE VACINAS E IMU;233200;95103;76423;108;38437;901;16565;1887;3439;337
2495279; HOSPITAL DR CLAUDIONOR COUTO RORIZ;210283;94762;79844;0;31031;0;1483;2;578;2583
2789620; CAIS DE ITUMBIARA;264821;94201;84156;243;57062;0;24826;91;2229;2013
23329; CENTRO DE SAUDE CABANA;192353;93393;55753;73;29376;0;8006;41;3865;1846
12580; POLICLINICA COMUNITARIA DR SERGIO AROUCA;340977;92935;88040;862;99871;154;53811;387;4731;186
6298524; CENTRO INTEGRADO DA MULHER;268607;92759;88185;317;58041;527;24285;262;949;3282
2752336; UBS DR HUMBERTO PASCALE SANTA CECILIA;278396;92728;73953;371;65647;1694;38832;88;1498;3585
212563; CENTRAL DE REDE DE FRIO SANTO ANTONIO DE JESUS;259508;92499;84545;642;57076;30;21802;958;477;1479
7189273; SECRETARIA MUNICIPAL DE SAUDE DE EUNAPOLIS;220367;92215;78231;129;39450;186;7995;7;820;1334
2788578; UBS INDIANOPOLIS SIGMUND FREUD;305653;92204;91441;270;86117;1184;30157;56;755;3469
6213545; SECRETARIA MUNICIPAL DE SAUDE;250503;92047;81442;995;48694;591;22614;185;617;3318
9268642; SPA SANTO CRISTO;196181;91980;70599;41;26994;20;6016;85;167;279
2418657; HOSPITAL MUNICIPAL MARIA SANTANA ROCHA FRANCO;225454;91844;73907;1628;37805;1230;11424;157;2187;5272
2752301; UBS JOSE DE BARROS MAGALDI;308029;91837;97670;178;84776;974;29140;47;940;2467
9172; UBS JARDIM SATELITE;226834;91778;80899;37;38347;288;13365;18;64;2038
2261413; CENTRO DE SAUDE CAMILO GOMES;289408;91590;92468;755;66112;281;32475;9;2271;3447
6758584; CENTRAL DE VACINA REDE DE FRIO;299021;91508;102784;0;72559;0;27781;52;1071;3266
17442; UMS TINGUI;214843;91237;97092;86;21670;426;136;0;1969;2227
9056963; UBS 01 VICENTE PIRES;161230;91046;38878;246;17684;481;6355;51;397;6092
3549801; UNIDADE BASICA DE SAUDE DR JOSE R DE CARVALHO CIDADE VERDE;201906;90924;103075;0;6017;1;1091;7;542;249
2289458; PRS HELIOPOLIS MONSENHOR SOLANO DE MENEZES;189457;90799;61634;181;20557;148;12062;50;257;3769
2491702; POLICLINICA MUNICIPAL CENTRAL;228496;90183;71499;336;45590;353;15101;86;1692;3656
2383438; UNIDADE BASICA DE SAUDE CEU AZUL;238532;90084;82502;0;47000;0;11675;47;1806;5418
2534355; USF ALVORADA;118305;89730;27934;0;335;0;288;4;11;3
2049651; CENTRO DE SAUDE II;265793;89672;91834;76;63357;699;15290;5;1544;3316
2396807; CEADAS CENTRO DE ESPECIALIDADES APOIO E DIAG ALBERT SABIN;128138;89534;32563;0;107;0;4;0;59;5871
6493122; SECRETARIA MUNICIPAL DE SAUDE;260515;89503;84225;853;58691;1175;22885;96;453;2634
3471403; SECRETARIA MUNICIPAL DE SAUDE DE ITABAIANA;256872;88982;79993;1212;54991;607;28394;125;57;2511
17094; UMS CAMARGO;275085;88958;98306;55;79634;477;252;0;6028;1375
7332262; UNIDADE DE VACINACAO;185820;88697;80446;1539;3954;22;943;4;6897;3318
2148692; POLICLINICA REGIONAL DR EDUARDO LEVINDO COELHO;227890;87934;73697;233;44469;483;16625;30;1454;2965
5417708; SMS CF SOUZA MARQUES AP 33;251765;87796;84113;129;50523;102;24924;164;1515;2499
9136118; CENTRO MUNICIPAL DE IMUNIZACAO;241261;87761;79918;68;48865;350;20541;29;623;3106
5262356; SECRETARIA MUNICIPAL DE SAUDE DE MONTES CLAROS;162858;87602;60819;0;5606;0;1151;0;49;7631
2044617; CS I DE OURINHOS;203180;86700;73887;73;30341;324;8535;4;1137;2179
2506653; CENTRO DE SAUDE VILA CLEMENTE;149242;86653;26916;16;23435;196;4105;99;1782;6040
3576760; UNIDADE MOVEL TERRESTRE ONIBUS DE FRANCISCO MORATO;174648;86029;70459;1;14688;126;2798;1;311;235
7512686; CENTRO MUNICIPAL DE SAUDE ARLINDA MARIA JUNQUEIRA VIONEL;192829;86018;72040;38;23586;247;4985;238;1364;4313
2087898; CENTRAL DE REDE DE FRIO DE ITANHAEM;233899;85479;82026;5;54763;277;8605;2;201;2541
2501937; UBS RAIMUNDO RENE CARLOS CASTRO;188923;85320;78926;65;16346;82;1525;979;856;4824
2280299; SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10;260732;85067;75234;220;60901;45;36359;549;784;1573
2314800; SMS PARNAIBA;227264;84871;71137;5;49252;2;17725;190;1854;2228
2116618; VESPASIANO CEME CENTRO DE ESPECIALIDADES MEDICAS;178799;84859;71359;526;13171;121;4042;12;1544;3165
2362252; CENTRO DE SAUDE FRANCISCO PINTO;410671;84753;195257;381;73590;283;47901;526;7351;629
7297343; CASA CARAGUATATUBA;150900;84453;55732;0;7434;71;277;0;232;2701
7570554; SUPERINTENDENCIA DE VIGILANCIA EM SAUDE;237075;84306;81220;484;42895;198;18017;1154;5128;3673
2236648; UNIDADE DE SAUDE ZONA SUL;170251;84039;66097;78;13569;8;2818;0;148;3494
14117; SECRETARIA MUNICIPAL DE SAUDE;111913;84020;14285;0;9568;0;69;1;1016;2954
3540243; CCA CENTRO DE CONTROLE DE AGRAVOS;152478;83968;65037;0;804;0;113;0;400;2156
7472722; UNIDADE DE SAUDE DA FAMILIA JARDIM COLORADO;125782;83908;29935;28;5861;179;5311;94;454;12
7748914; CIA CENTRO INTEGRADO DE ATENDIMENTO JACARANDAS;188205;83809;70151;248;22699;290;5646;37;368;4957
3319717; ESF MOACIR MARCHEZAN;196289;83611;73425;313;29976;226;7717;65;25;931
164658; PNI STA CRUZ DO CAPIBARIBE;204813;82803;72642;1025;36882;166;6634;242;3385;1034
2775565; PSF N SRA DAS GRACAS;240138;82682;78668;896;53938;79;14760;129;6788;2198
3285391; HOSPITAL UNIVERSITARIO DA UNIVERSIDADE FEDERAL DO PIAUI;183663;82491;71624;0;20026;0;3992;16;204;5310
17248; UMS VISITACAO;274019;82453;96269;257;84858;1029;632;0;6047;2474
2788543; AMA UBS SAO VICENTE DE PAULA;275278;82354;80922;535;67666;1741;38810;115;1350;1785
2330385; CENTRO DE SAUDE ILVANIR DENARDIN;184976;82290;67888;155;27962;154;5143;20;40;1324
2328852; UBS AGUAS LINDAS;208195;82259;60154;1636;42418;776;16971;2858;1112;11
2160242; POLICLINICA MUNICIPAL JOSE BATISTA DE FREITAS;191375;81988;71837;4;27021;1;6536;472;773;2743
9422005; UBS PSF JARDIM SANTA ELIZA;248078;81965;93408;0;58532;542;11046;1;1011;1573
2773902; VIGILANCIA EPIDEMIOLOGICA DE FERRAZ DE VASCONCELOS;139248;81826;47960;3;3653;120;353;0;131;5202
2279207; CENTRO DE SAUDE DR RAUL TRAVASSOS;216216;81611;72886;74;42040;195;16655;31;206;2518
9326; UBS CENTRO I;295255;81605;109132;109;75119;672;26666;61;112;1779
3634949; CISGAP;113109;81485;24631;1;510;0;45;5;1232;5200
2797135; UBSF VOLTA GRANDE GOTARDO FIRMINO NETTO;150931;81310;33634;86;24582;25;5063;160;1095;4976
2045389; UBS RIACHO GRANDE;160925;80458;58674;43;12588;457;5185;2;40;3478
2281481; CENTRO MUNICIPAL DE ESPECIALIDADES ENGENHEIRO PEDREIRA;202684;80371;67643;345;36085;436;13830;137;1437;2400
2271915; POLICLINICA DE ITAIPU;204029;80284;76386;0;36488;0;6284;21;934;3632
2023962; UBS MARIA FRANCISCA DE MELO;266466;80273;98482;206;73869;990;9760;1;483;2402
2274302; CENTRO MUNICIPAL DE IMUNIZACAO;215772;80177;70905;219;26320;102;14825;63;20881;2280
3893227; CENTRO MEDICO MUNICIPAL DE CALDAS NOVAS;203623;79974;69201;365;36774;319;14418;39;141;2392
2342413; POLICLINICA MUNICIPAL BENJAMIN MARANHAO;194093;79893;68776;430;17810;456;9937;3;15289;1499
2140845; UNIDADE DO SAUDE BOM JESUS;217891;79288;74128;249;39973;47;15680;126;5652;2748
2487276; EQUIPE DE ATENCAO PRIMARIA MAIZA TELES;201308;79210;52076;505;42244;852;24371;153;725;1172
7005741; UBS CENTRAL;211773;79034;74593;221;40276;142;12808;13;1031;3655
2027631; UBS JOAQUIM ANTONIO EIRADO;204951;78792;60957;234;41313;761;20936;29;499;1430
2082411; PRONTO ATENDIMENTO DR GUIDO GUIDA;136830;78180;51847;0;3915;63;210;0;185;2430
17353; UMS MORADIAS SANTA RITA PSF;149611;77711;62555;93;5928;629;161;0;820;1714
2727331; CENTRO DE SAUDE CAMBE;165939;77565;68685;48;3577;59;3910;20;7824;4251
8011214; USF NOVO GAMA;179069;77522;57637;0;29186;0;7482;53;1417;5772
2105578; CENTRO DE ESPEC MEDICAS E ODONTO DR OVIDIO NOGUEIRA MACHADO;181855;77489;67152;0;33285;0;64;0;1706;2159
2293749; POLICLINICA WALTER GOMES FRANCKLIN;218023;77302;70959;246;45814;169;21326;20;183;2004
3359131; UBS VILA PRUDENTE;217980;76887;66712;251;47527;1029;23446;40;522;1566
