CNES;Estabelecimento de Saúde;1ª Dose
2023911; UBS HERMELINO LIBERATO FILHO;50213
2055430; UBS CENTRAL DE PIEDADE;50131
5975220; UBS SE;50085
7682611; USF DR CARLOS AMADEU DE OLIVEIRA V MAZZEI ITAPETININGA;49953
6048633; UBS BORACEA;49667
9105; UBS VISTA VERDE;49645
2024047; UBS HELIO BERZAGHI;49582
6595421; SECRETARIA MUNICIPAL DE SAUDE DE BIRIGUI;49100
2023040; DISTRITO SANITARIO SUDOESTE;48592
9635289; VIGILANCIA EM SAUDE NOROESTE;48402
2037521; UBS LEBLON;48260
2789256; AMA UBS VILA SONIA;48217
2045176; UBS ALVARENGA;48208
2788101; UBS MILTON SANTOS;48112
2789116; AMA UBS VILA NOVA JAGUARE;48007
2745682; UBS ESF CS II DR JOSE RIBEIRO FORTES SAO JM DA BARRA;47997
2788454; AMA UBS PARQUE SANTO ANTONIO;47415
2034387; UBS PONTA DA PRAIA;47209
9393; UBS PARQUE INDUSTRIAL;47197
2023601; VIGILANCIA EM SAUDE SUL;46503
2792214; UBS ANALANDIA;46392
3738604; UBS PARQUE MARIA DOMITILA;45992
2787865; UBS JD STA TEREZINHA;45988
9800247; UBS MORUMBI CENTRO II DE PAULINIA;45978
2704757; UNIDADE BASICA DE SAUDE JARDIM DO LAGO;45693
2029618; UBS BOM RETIRO OCTAVIO AUGUSTO RODOVALHO;45577
9958746; UBS PEDREGULHO;45490
9021523; UBS OURO VERDE;45384
2087618; HOSPITAL MUNICIPAL DE VOTORANTIM;45139
2752174; UBS BELENZINHO MARCUS WOLOSKER;45049
2746522; UBS CAUCAIA DO ALTO;44894
2787474; UBS JARDIM ICARAI QUINTANA;44867
2071681; CENTRO DE SAUDE II DR JOSE PAIONE MOCOCA;44785
2788330; UBS PQ IMPERIAL MANOEL ANTONIO DA SILVA SARAGOCA;44741
2028387; MACRO II CENTRO DE SAUDE DE PENAPOLIS;44731
2792583; CENTRAL MUNICIPAL SALA DE VACINA;44721
2039079; UBS DR WALTER DIVINO DA COSTA PEDRO PERRI;44677
2072335; UBS SALVADOR DE LEONE;44579
2027380; UBS MENINOPOLIS MARIO FRANCISCO NAPOLITANO;44386
7718586; UBS VILA LOBATO CENTRO MEDICO SOCIAL COMUNITARIO;44309
2042967; UBS JARDIM DA SAUDE NEUSA ROSALIA MORALES;44229
2786966; UBS CUPECE DR WALDOMIRO PREGNOLATTO;44145
2027461; UBS PARQUE DA LAPA;44112
6843670; CENTRAL MUNICIPAL VIGILANCIA EPIDEMIOLOGICA ARARAQUARA;43825
2751933; HOSPITAL DIA PENHA;43499
6872999; ATENDE FACIL UNIDADE DE ENFERMAGEM;43400
2040905; UBS JOSE JOAQUIM BONFIM SERTAOZINHO;43264
2057972; USF CS II;43049
2042258; UBS MOOCA I;42720
2053497; CENTRO DE SAUDE SAO JOSE DO RIOPARDO;42711
2752166; AMA UBS INTEGRADA AGUA RASA;42695
2044242; UBS CENTRO;42351
9079300; USF CENTRO;42208
2788519; UBS SACOMA EDMUNDO SUSSUMU FUJITA;42001
7128940; UBS JARDIM MIRIAM II;41815
2752360; UBS V NOVA MANCHESTER DR ARLINDO GENNARI;41800
2087995; UNIDADE DE SAUDE DA FAMILIA RENASCENCA LEME;41744
2787504; UBS JARDIM JAPAO;41738
2787350; AMA UBS INTEGRADA JD DAS OLIVEIRAS;41734
2026600; UBS ANTONIO ABBUD;41729
6012957; UBS JARDIM INDEPENDENCIA;41723
2061155; PRONTO SOCORRO INFANTIL ENF JOAQUIM NOGUEIRA;41717
2091321; CSE GERALDO DE PAULA SOUZA;41627
3452689; UBS CAMPO GRANDE;41535
2774801; AMA UBS JARDIM IPANEMA;41475
2061600; UBS ANGELA ROSA FRANCA SP;41158
3284131; POLICLINICA WILSON FEDERZONI CABREUVA;41139
2788470; UBS REAL PARQUE PAULO MANGABEIRA ALBERNAZ FILHO;40798
7344732; UBS MANOEL MATHEUS NETO;40759
2787873; AMA UBS INTEGRADA JD SANTO ANDRE;40661
2038641; CS II DR ARTHUR COSTACURTA JARDINOPOLIS;40624
2073420; PSF JARDIM BRASIL;40510
2071487; CS I DR TAKASHI ENOKIBARA;40496
2789205; AMA UBS VILA PREL ANTONIO BERNARDES DE OLIVEIRA;40437
2036479; PAS DR ADALBERTO ANDRADE LOPES JARDIM BELA VISTA;40217
2039117; NUCLEO CENTRAL DE SAUDE ESF DR ANTONIO QUEDA;40209
2064472; UBS MORRINHOS GUARUJA;40067
2789183; UBS VILA PIRITUBA;39983
2049074; UBS ESTACAO;39754
6975860; EAP EZIDIO PELLOSO MONTE ALTO;39722
5325633; UNIDADE BASICA DE SAUDE DR JOEL LINCOLN MAY KEESE;39634
2718111; CENTRO DE ESPECIALIDADES DE ITAQUAQUECETUBA;39418
2787555; AMA UBS JARDIM LADEIRA ROSA;39389
2788004; UBS JOSE MARCILIO MALTA CARDOSO;39349
2787563; UBS JARDIM LIDIA;39215
732710; CENTRO DE IMUNIZACAO PARQUE SANTA MARIA;39176
2091348; CS ESCOLA SAMUEL B PESSOA;39035
2050900; UNIDADE BASICA DE SAUDE DR JOSE TOGEIRO DE ANDRADE;38959
2788748; UBS V ARRIETE DECIO PACHECO PEDROSO;38862
2752182; UBS BRAS DR MANOEL SALDIVA NETO;38742
2046512; CENTRO DE SAUDE I AVARE;38706
2042541; UBS DR JOSE TOLEDO PIZA;38454
2788829; UBS VILA DAS MERCES;38341
2067161; UBS DR ALMIRO DOS REIS LAURINDO TATUI SP;38191
2788047; AMA UBS LAUZANE PAULISTA;37909
2086344; UNIDADE BASICA DE SAUDE DR AMADEU MENDES DA SILVA NETO;37598
2752352; UBS VILA CARRAO DR ADHEMAR MONTEIRO PACHECO;37525
2788195; AMA UBS INTEGRADA PARI;37480
2040085; UBS PARQUE CECAP;37455
2773597; UBS JUNDIAPEBA;37243
2788535; UBS SAO MATEUS NAIR ALVES DE REZENDE NORIMBENI;37193
2068079; UBS CARANDIRU;37166
2788764; UBS VILA BORGES;37112
4049934; UBS JARDIM HELENA;36944
2786826; UBS BUTANTA;36811
3706494; UBS JARDIM ALESSANDRA;36696
2750325; CENTRO DE SAUDE II;36594
2790092; CENTRO DE SAUDE II DR JACOB CASSEB;36546
2040476; UBDS DR ITALO BARUFFI CASTELO BRANCO NOVO RIBEIRAO PRETO;36540
2078015; HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO;36480
2096234; UBS ENFERMEIRO CARLOS MOREIRA DA SILVA;36439
2788217; AMA UBS PAULO VI;36217
8990; UBS SANTANA;36217
2088371; CENTRO DE SAUDE DE TREMEMBE DR CARLOS BORGES ANCORA DA LUZ;35937
2055082; CS DE NOVO HORIZONTE;35853
2745690; CS II DR MIGUEL VITALIANO ORLANDIA;35846
4050142; AMA UBS INTEGRADA JOSE BONIFACIO III DRA LUCY MAYUMI UDAKIRI;35783
2054205; UBS GONZAGA;35666
2789248; UBS VILA ROMANA;35588
2075202; AMA UBS JARDIM BRASIL;35585
2025299; AMBULATORIO MUNICIPAL PREFEITO HERMINIO DE LAURENTIZ NETO;35501
2049260; CENTRO DE SAUDE II DE TIETE;35471
2030314; CENTRO DE ESPECIALIDADES MEDICAS ITAMAR DELLA NINA CERVA;35401
2747251; USF IRACEMA MARIA AMELIA PERONDI;35258
6283616; UBS PARQUE PAULISTANO;35138
2023741; CRMF CSII DR JOSE FERREIRA TELLES;35102
4050215; UBS V SANTANA;35064
2096188; UBS DRA IZABEL GRATIERI;35030
2751844; AMB ESPEC CECI DR ALEXANDRE K YASBECK;34897
6194990; AMA UBS INTEGRADA CHACARA CRUZEIRO DO SUL ZELIA L M DORO;34813
2788756; AMA UBS VILA BARBOSA;34807
6564410; UBS PARAISOPOLIS III;34705
5466938; USF VILA REAL;34449
9186492; UBS JARDIM COLOMBO;34442
2027666; UBS CHORA MENINO;34230
2032465; USF CIS NOVA VENEZA;34140
7063326; PSF SAO DIMAS SAO PEDRO;34084
2752379; AMA UBS INTEGRADA VILA ORATORIO DR TITO PEDRO MASCELLANI;33923
2788306; UBS PQ EDU CHAVES;33866
7449763; UBS I PREFEITO ILARIO DASSIE;33786
2026422; UNIDADE BASICA DE SAUDE II;33692
2027909; ESF MORAES POSTINHO DOS MORAES DE SOCORRO;33583
2787695; UBS JARDIM PERI;33532
2050633; USF VASCONCELOS;33436
2051591; CSF AEROPORTO LIMEIRA;33404
2049376; CS II PROFA SALETE A CICCONI MARCHI LEME;33258
2787938; UBS JARDIM VERA CRUZ PERDIZES;32969
6581552; UBS TEREZINHA VICENSOTTI;32942
2054531; UBS VILA FATIMA;32906
2040204; UBS CAMPO GRANDE;32871
2788837; UBS VILA DIONISIA;32817
2062658; UBS J MAIA;32724
4050045; UBS J SOARES;32652
2788322; AMA UBS PARQUE FERNANDA;32560
2072327; UBS TRANQUILIDADE;32478
2051249; CENTRO DE SAUDE I TACITO LEITE DE CARVALHO E SILVA;32251
2040913; CENTRO DE SAUDE II DE CRAVINHOS;32162
2751887; UBS JARDIM CLIPER;31997
9059369; UBS JARDIM ORION GUANHEMBU;31979
2789051; AMA UBS VILA MEDEIROS;31929
2044285; UBS NELSON BARRIONOVO CAMPOS ELISEOS;31817
2038897; CSF HIPOLITO 1 LIMEIRA;31757
2788780; UBS VILA CHABILANDIA;31734
2033259; UBS I PADRE ANTONIO PUTTON COHAB I;31523
2083663; CENTRO DE SAUDE DE ADAMANTINA;31393
2718766; UBS JARDIM CAIUBY;31374
2036010; UBS JUREMA;31297
2787946; UBS JARDIM VISTA ALEGRE VANDA APARECIDA DOS SANTOS;31277
2788225; AMA UBS PERUS;31162
2787369; UBS JARDIM ELIANE;31082
2042932; AMA UBS JARDIM GRIMALDI;31068
3738582; UBS CITY JARAGUA;31052
2053594; UBS VILA MAGINI;31019
2752247; AMA UBS INTEGRADA PROF DR HUMBERTO CERRUTI PQ BOTURUSSU;30916
2787148; UBS DR ILZA WELTMAN HUTZLER;30911
2787784; AMA UBS JARDIM SAO JORGE DR PAULO EDUARDO ELIAS;30883
2688352; UBS ARARA DOS MORI;30874
2752344; UBS V BERTIOGA DOMINGOS DELASCIO;30844
2788691; AMA UBS INTEGRADA V ANTONIETA;30834
4050010; UBS GUAIANASES II;30800
2027526; UBS JARDIM NELIA;30763
2773333; SANTA CASA DE GUARAREMA;30736
2788950; UBS VILA GUILHERME;30700
2085119; CENTRO DE SAUDE II SERTAOZINHO;30689
6600719; UNIDADE MOVEL DE SAUDE;30675
2773236; UBS EURIPES DE FATIMA GALDINO PELE;30480
2022699; CENTRO DE SAUDE TAQUARAL;30350
2785315; CENTRO DE SAUDE DR MARIO DIAS DE AGUIAR;30347
2788349; UBS PARQUE NOVO MUNDO I;30263
2096943; UBS JOAO PAULO II JAGUARE;30244
2043890; UBS NELSON GASPAR DIP ALVORADA;30198
2063212; UNIDADE BASICA DE SAUDE DR WALTER PIMENTEL;30187
2718782; UBS JARDIM ODETE;30100
2788292; UBS PARQUE DOROTEIA;30079
2787962; UBS JACANA DR SEBASTIAO GABRIEL SAYAGO DE LAET;30032
2716119; POLICLINICA MUNICIPAL DR ALBERTO CARLOS PESCIOTTO;29984
6974562; UNIDADE DE SAUDE DA FAMILIA CENTRO DESCALVADO;29977
2030934; UBS GUARANI VARGAS;29973
2787520; AMA UBS JARDIM JOAMAR;29952
2788160; UBS NOVO JARDIM I;29682
2025493; CSF NOVA EUROPA LIMEIRA;29659
7028490; UBS CENTRO DR JOSE NIGRO NETO;29640
2045451; UBS VILA ALPINA DR HERMINIO MOREIRA;29541
2097095; UBS JARDIM SIMOES RENASCER;29496
7209169; UBS SAO JOAO;29479
2027070; AMA UBS INTEGRADA PADRE MANOEL DA NOBREGA;29367
2084813; VIGILANCIA EPIDEMIOLOGICA;29332
9386742; UNIDADE BASICA DE SAUDE DR MATHEUS GABRIEL BONASSA;29329
9841016; CARRETA SAUDE EM MOVIMENTO;29235
2096803; UBS GONZAGA DE CAMPOS;29225
6329527; UBS JARDIM DAS PALMAS;29176
4050088; AMA UBS INTEGRADA JD BRASILIA;29171
2788985; UBS VILA IPOJUCA WANDA COELHO DE MORAES;28996
2786842; UBS CAMPO LIMPO;28954
2787741; UBS JD ROSELI;28948
2057778; CENTRO DE SAUDE DE OSVALDO CRUZ;28946
2787849; UBS J SILVA TELLES;28941
5102073; USF CENTRO;28927
2788667; UBS UNIAO DAS VILAS DE TAIPAS;28837
4049853; UBS PQ SAO RAFAEL DR ORA ROSEN;28752
2801094; UBS CENTRO;28701
2752212; UBS VILA AURORA DR DOMINGOS MAZZONETO DE CILO;28697
2787024; AMA UBS ELISIO TEIXEIRA LEITE;28680
2787679; AMA UBS JARDIM PAULISTANO;28655
3316653; UBS PARQUE SAO GEORGE;28651
6380417; UBS JARDIM VALQUIRIA;28650
2788993; UBS VILA IZOLINA MAZZEI;28582
2786877; UBS CAXINGUI NANCI ABRANCHES;28575
2061171; UBS POMPEIA E JOSE MENINO;28542
3738663; AMA UBS INTEGRADA FAZENDA DO CARMO;28505
2787318; UBS JARDIM COMERCIAL;28501
2030241; CSF NS DORES 1 LIMEIRA;28497
2052458; UBS EMBARE;28473
2788012; UBS CONJUNTO DO IPESP;28465
2788861; UBS VILA ESPERANCA DR CASSIO BITENCOURT FILHO;28373
2755009; ESF DR JOAO PACCOLA PRIMO;28367
5691079; 2 POSTO SAUDE DA FAMILIA NASSIMA BUSSADA ROMERO;28330
2045400; UBS VILA DAYSE;28328
7587198; UBS NOVA BONSUCESSO;28249
2789302; UBS VELEIROS;28223
2788071; UBS MARIA CECILIA DONNANGELO;28180
3385116; CENTRO DE SAUDE VILA UNIAO;28094
2801183; UBS PARQUE REAL SAUDE DA FAMILIA;28085
2801205; UBS SERRARIA;28070
7135173; UNIDADE DE PRONTO ATENDIMENTO DE PERUIBE UPA24H;27955
2038536; UBS COHAB BANDEIRANTES;27932
2035871; UBS LEPORACE;27828
2028042; PM 06 JD IPIRANGA;27825
9488413; UBS ENCOSTA NORTE LUIZ JOSE SANTOS;27760
6377742; UBS VILA CAIUBA;27725
79278; UNIDADE BASICA DE SAUDE CENTRAL;27711
2788365; AMA UBS PARQUE NOVO STO AMARO;27672
2055996; CENTRO MEDICO DE ESPECIALDADES MEDICAS DE CONCHAL;27638
2096838; UBS ELDORADO;27561
2787512; UBS JARDIM JAQUELINE;27529
2065002; CENTRO DE SAUDE III EUFROZINA MARIA DE JESUS AGUAI;27518
2788233; AMA UBS PARQUE ANHANGUERA;27515
7269021; UNIDADE BASICA DE SAUDE ANHANGABAU;27496
4049985; AMA UBS WAMBERTO DIAS DA COSTA;27451
2051400; UBS DRA MARIA JOSE DE ALBUQUERQUE;27432
2787342; AMA UBS INTEGRADA JD DAS LARANJEIRAS;27362
2090554; UBS HAROLDO VELOSO;27333
2027992; PM 16 VILA GALO;27224
2072688; UBS CENTRO REGISTRO;27218
2788357; UBS PARQUE NOVO MUNDO II;27215
2758288; CENTRO DE SAUDE ESCOLA ESTORIL;27212
2061082; UBS JOVAIA;27202
2787598; UBS VILA GUMERCINDO PROF JANDIRA MASSUR;27155
2789078; AMA UBS VILA MISSIONARIA;27143
2788500; UBS RIO PEQUENO PAULO DE BARROS FRANCA;27131
4046811; EAP DR JOSE MONTEIRO DO AMARAL APARECIDA;27112
2787636; UBS JARDIM MITSUTANI;27095
2788772; UBS VILA CARMOSINA;27078
2043866; UBS DR AUGUSTO SIMPLICIANO BARBOSA PLANALTO;27065
2789167; AMA UBS VILA PEREIRA BARRETO;27059
2036002; UBS JARDIM FLOR DA MONTANHA;27007
2039427; UBS SANTA FELICIA PS DR BENJAMIM LOPEZ OZORES;26975
2097028; UBS PARQUE INDUSTRIAL;26921
6554180; SECRETARIA MUNICIPAL DA SAUDE DE SAO CAETANO DO SUL;26739
2801159; UBS JARDIM INAMAR SAUDE DA FAMILIA;26725
2064286; PSF DR ANTONIO PIRES DE ALMEIDA PORTO FELIZ;26720
5695813; UBS JARDIM MARACA;26701
7515111; USF DR ACACIO ALVES DE SOUZA II;26618
2033380; CENTRO DE SAUDE III AFFONSO LUZZI SANTA CRUZ DAS PALMEIRAS;26553
2064448; UBS DR WALDEMAR BARNSLEY PESSOA PARQUE RIBEIRAO;26543
2056887; UBS CENTRO PAULINIA;26538
2050625; USF MARIA ANTONIA;26463
4050134; UBS J N SRA DO CARMO;26451
2055147; UNIDADE BASICA DE SAUDE CSII;26403
2752239; AMA UBS INTEGRADA J INDEPENDENCIA HERMENEGILDO MORBIM JUNIOR;26370
2091720; UBS JARDIM FONTALIS;26311
2065266; UBS ERMELINO MATARAZZO;26295
2787911; UBS JD UMUARAMA;26286
2788527; AMA UBS INTEGRADA JD SAO FRANCISCO II;26241
2049139; UBS PAULISTA;26170
2688301; CENTRO DE SAUDE I DR LOURENCO QUILICCI;26098
2026988; AMA UBS VILA CALIFORNIA ZEILIVAL BRUSCAGIN;25824
2042991; AMA UBS DR GERALDO DA SILVA FERREIRA;25782
2787628; AMA UBS JARDIM MIRNA;25742
7616015; UBS JARDIM DAS OLIVEIRAS MARABA;25702
2085445; UBS 02 JOSE MARIA VICENTE ITU;25657
2801167; UBS JARDIM PAINEIRAS SAUDE DA FAMILIA;25635
2074745; CMSC VILA XAVIER JOAO VITOR NASCIMENTO MAURICIO;25599
6518869; CLIAS CLINICA DE ATENCAO A SAUDE SANTA FE DO SUL;25593
2091798; AMA UBS INTEGRADA SITIO DA CASA PINTADA;25584
2052504; UBS MAIS FAZENDINHA;25562
6406920; VIGILANCIA EPIDEMIOLOGICA DE SERRANA;25468
2063670; UBS VILA SABRINA DR CARLOS AUGUSTO AUTRAN PEDERNEIRAS LIMA;25400
2789191; UBS VILA PRAIA VITORIO ROLANDO BOCCALETTI;25399
2058502; HOSPITAL DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO;25330
7267800; USF JARDIM EUROPA;25289
2788403; UBS PARQUE RESIDENCIAL COCAIA INDEPENDENTE;25267
2062100; UBS MARCOS FREIRE;25249
2031558; UBS DR JECY VILLELA DOS REIS MORADA DOS NOBRES;25234
2788926; UBS VILA GRANADA DR ALFREDO FERREIRA PAULINO FILHO;25158
3105504; UBS RECANTO DOS HUMILDES;25116
6793827; UBS MARCO ANTONIO DE OLIVEIRA PEREIRA ANDRADINA;25105
5604478; UBS PALMEIRAS;25090
2051761; UBS ELDORADO SAUDE DA FAMILIA;24991
2788241; AMA UBS ANHANGUERA;24982
2035340; CENTRO DE SAUDE II DE CANDIDO MOTA;24981
2086824; CENTRO DE SAUDE II DR CARLOS ALBERTO CAMARA LEAL OLIVEIRA;24957
2038978; UBS JARDIM ZAIRA I;24956
3913007; CS ESCOLA BARRA FUNDA ALEXANDRE VRANJAC;24937
2788136; UBS MOINHO VELHO;24884
2040921; UBS SAO JOSE PS DR LUIZ VALENTIE DE OLIVEIRA;24800
2788314; UBS PARQUE DO ENGENHO II;24788
2789043; UBS VILA MATILDE DR RUBENS DO VAL;24777
2789000; UBS VILA JACUI;24753
2034654; UBS JARDIM ZAIRA II;24751
2788284; AMA UBS PARQUE BRISTOL;24745
7302541; UBS JARDIM EDITE GERONCIO HENRIQUE NETO;24723
4048466; UBS AMADOR BUENO;24712
2751828; AMA UBS VILA JOANIZA JOAO YUNES;24705
2062550; UBS 01 MARIA AUGUSTA PASSARELI CIDADE JARDIM BIRIGUI;24676
2787768; UBS JARDIM SAO BENTO;24665
2027674; UBS VILA NIVI;24627
2057891; UBS PARQUE SAO LUCAS;24569
2052318; UBS MORROS;24536
2751771; CENTRO DE REFERENCIA DO IDOSO DR HUMBERTO MENDES DE CARVALHO;24488
2027038; UBS CID SATELITE SANTA BARBARA;24471
4049977; UBS CRUZ DAS ALMAS;24426
5743583; UBS CIDADE IPAVA;24389
2787288; UBS JARDIM COIMBRA;24381
2788187; UBS PARAISOPOLIS;24369
2788942; UBS VILA GUARANI;24364
7672578; UBS SAO REMO;24363
2061589; UBS BRASILANDIA FRANCA SP;24348
2041278; UBS REDENCAO PS DR LAURO CORSI;24317
2688085; UBS SANTA LUZIA;24304
2064421; UBS MAMORU KOBAYASHI BONFIM PAULISTA;24290
3956946; UBS JARDIM OLINDA;24258
2055198; UBS VILA BARROS;24198
2081032; HOSPITAL UNIMED DE RIO CLARO;24167
2063824; UBS DR NORMAN STORTO;24140
2040514; CS II JOSE F ROSAS;24120
8338; UBS HELENA MARREY;24115
2752204; AMA UBS INTEGRADA CANGAIBA DR CARLOS GENTILE DE MELLO;24075
2075644; UBS PROFA DRA MARIA HERBENIA O DUARTE CSE VILA TIBERIO;24019
2034840; UBS APARECIDA;23990
4050207; UBS V NOVA CURUCA;23946
2789086; UBS VILA MORAES JOAO PAULO BOTELHO VIEIRA;23908
2096358; UBS PASCOALINA MANGILI TOMAZETTI V SAO PEDRO E S PINHAL SP;23908
6332447; UBS JARDIM SANTA FE;23876
2046520; ESF XI DR MARIA DA GLORIA NOVAES RAMIRES FERREIRA;23799
2788055; UBS LUIZ ERNESTO MAZZONI;23784
2051737; UBS DO JARDIM PRIMAVERA;23744
2082772; UBS CASCATA;23672
2751917; AMB ESPEC MOOCA ITALO DOMINGOS LE VOCCI;23649
2072408; UBS JOSE PEREIRA DE CARVALHO SERTAOZINHO;23580
2068044; UBS HORTO FLORESTAL;23573
2788802; UBS V CURUCA;23543
3011542; UBS SOBERANA;23514
2035030; UBS PARQUE PINHEIROS;23492
9390103; US DRA LUCILENE MOSCA MELIN LMM AB;23469
2026961; UBS VILA HELOISA;23448
2819856; UBS UNIAO DE VILA NOVA;23442
2086816; UBS VERA CRUZ DR FERNANDO PROENCA DE GOUVEA;23400
2752220; UBS ENGENHEIRO GOULART DR JOSE PIRES;23361
2047047; PM 03 SAO VITO;23357
2045338; UBS IPE;23334
6592899; AMA UBS INTEGRADA VILA SILVIA;23292
2054493; UBS CIDADE SERODIO;23261
2788276; UBS PQ BOA ESPERANCA;23222
2047888; USF BANDEIRANTES;23190
7986580; UBS PASTOR MARCELINO DEUNGARO RIO GRANDE;23148
