CNES;Estabelecimento de Saúde;Total de doses Aplicadas Bivalentes
2049414; CENTRO DE SAUDE DRA ROSA CHELMINSK TEIXEIRA ARARAS;12783
2034387; UBS PONTA DA PRAIA;12605
2786966; UBS CUPECE DR WALDOMIRO PREGNOLATTO;12460
2788330; UBS PQ IMPERIAL MANOEL ANTONIO DA SILVA SARAGOCA;12423
2027631; UBS JOAQUIM ANTONIO EIRADO;12292
2787253; AMA UBS JARDIM CASTRO ALVES DRA MARIA CRISTINA F;12091
2752360; UBS V NOVA MANCHESTER DR ARLINDO GENNARI;12072
3913007; CS ESCOLA BARRA FUNDA ALEXANDRE VRANJAC;11933
2091348; CS ESCOLA SAMUEL B PESSOA;11807
2789116; AMA UBS VILA NOVA JAGUARE;11688
3503488; UBS ALTO DE PINHEIROS DR SUEL ABUJAMRA;11682
2058502; HOSPITAL DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO;11641
3738604; UBS PARQUE MARIA DOMITILA;11569
2789302; UBS VELEIROS;11545
2788829; UBS VILA DAS MERCES;11331
6194990; AMA UBS INTEGRADA CHACARA CRUZEIRO DO SUL ZELIA L M DORO;11197
2037548; UBS VILA MARCHI;11086
2788918; UBS V FORMOSA I DR ANTONIO DA SILVEIRA E OLIVEIRA;11029
2068966; CSI DR VICTOR ARAUJO HOMEM DE MELLO PINHEIROS SAO PAULO;10967
2786826; UBS BUTANTA;10927
2029618; UBS BOM RETIRO OCTAVIO AUGUSTO RODOVALHO;10870
2788861; UBS VILA ESPERANCA DR CASSIO BITENCOURT FILHO;10863
2027666; UBS CHORA MENINO;10765
2023946; UBS BENEDITO DE OLIVEIRA CRUDO;10749
2752379; AMA UBS INTEGRADA VILA ORATORIO DR TITO PEDRO MASCELLANI;10695
2787474; UBS JARDIM ICARAI QUINTANA;10666
2752174; UBS BELENZINHO MARCUS WOLOSKER;10631
2786877; UBS CAXINGUI NANCI ABRANCHES;10605
4050142; AMA UBS INTEGRADA JOSE BONIFACIO III DRA LUCY MAYUMI UDAKIRI;10476
2787598; UBS VILA GUMERCINDO PROF JANDIRA MASSUR;10455
2788500; UBS RIO PEQUENO PAULO DE BARROS FRANCA;10437
2755068; UNIDADE BASICA DE SAUDE CENTRO PINDAMONHANGABA;10291
9186492; UBS JARDIM COLOMBO;10241
2022672; CENTRO DE SAUDE JARDIM AURELIA;10118
2788756; AMA UBS VILA BARBOSA;10114
2788004; UBS JOSE MARCILIO MALTA CARDOSO;10020
2066629; UBS OSWALDO PACCINI ATIBAIA;9942
5975220; UBS SE;9928
7128940; UBS JARDIM MIRIAM II;9857
2788691; AMA UBS INTEGRADA V ANTONIETA;9759
2045451; UBS VILA ALPINA DR HERMINIO MOREIRA;9718
2787156; UBS JD AEROPORTO DR MASSAKI UDIHARA;9698
2072327; UBS TRANQUILIDADE;9679
2788985; UBS VILA IPOJUCA WANDA COELHO DE MORAES;9576
8788; UBS VILA LUZITA;9544
2801094; UBS CENTRO;9522
2792583; CENTRAL MUNICIPAL SALA DE VACINA;9484
2068079; UBS CARANDIRU;9406
2752352; UBS VILA CARRAO DR ADHEMAR MONTEIRO PACHECO;9327
2751984; AMB ESPEC TUCURUVI ARMANDO DE AGUIAR PUPO;9318
2044285; UBS NELSON BARRIONOVO CAMPOS ELISEOS;9309
2055430; UBS CENTRAL DE PIEDADE;9279
8958; UBS CENTRO;9250
2786907; UBS CIDADE LIDER;9222
2788454; AMA UBS PARQUE SANTO ANTONIO;9187
2022699; CENTRO DE SAUDE TAQUARAL;9186
4050010; UBS GUAIANASES II;9161
2055139; UNIDADE DE SAUDE DA FAMILIA CERRADO SOROCABA;9057
2047373; CENTRO DE SAUDE II DR ARCY BANDEIRA IBIUNA SP;9049
2045400; UBS VILA DAYSE;9030
2043750; UBS CONSELHEIRO NEBIAS;9028
6048633; UBS BORACEA;9015
2787873; AMA UBS INTEGRADA JD SANTO ANDRE;8960
2788993; UBS VILA IZOLINA MAZZEI;8927
9059369; UBS JARDIM ORION GUANHEMBU;8909
2069598; UBS DR ANIZ BONEDER CENTRAL TATUI SP;8869
2788047; AMA UBS LAUZANE PAULISTA;8859
7302541; UBS JARDIM EDITE GERONCIO HENRIQUE NETO;8851
2788519; UBS SACOMA EDMUNDO SUSSUMU FUJITA;8830
2050218; UBS HELIO LOURENCO DE OLIVEIRA SANTA CRUZ;8783
2789191; UBS VILA PRAIA VITORIO ROLANDO BOCCALETTI;8773
2787911; UBS JD UMUARAMA;8756
2045346; UBS ALVES DIAS;8674
4049985; AMA UBS WAMBERTO DIAS DA COSTA;8611
2788268; UBS PARQUE ARARIBA;8581
2751887; UBS JARDIM CLIPER;8556
2034786; CENTRO DE SAUDE MARIA DO CARMO SOROCABA;8545
2022664; CENTRO DE SAUDE BARAO GERALDO;8520
2027070; AMA UBS INTEGRADA PADRE MANOEL DA NOBREGA;8510
2788535; UBS SAO MATEUS NAIR ALVES DE REZENDE NORIMBENI;8492
2042991; AMA UBS DR GERALDO DA SILVA FERREIRA;8476
2091712; UBS DR WALTER ELIAS;8392
2788012; UBS CONJUNTO DO IPESP;8372
5626552; UBS OSWALDO CRUZ;8318
2787148; UBS DR ILZA WELTMAN HUTZLER;8309
2034840; UBS APARECIDA;8289
928682; LABORATORIO CIPAX;8288
2046261; UBS ITAIM PAULISTA JULIO DE GOUVEIA;8273
2751879; AMB ESPEC FREGUESIA DO O;8234
2789000; UBS VILA JACUI;8207
2752344; UBS V BERTIOGA DOMINGOS DELASCIO;8200
2789183; UBS VILA PIRITUBA;8151
2025531; UBS SANTA TEREZINHA;8147
2037378; UBS SAO PEDRO;8141
2787504; UBS JARDIM JAPAO;8121
2773236; UBS EURIPES DE FATIMA GALDINO PELE;8106
2044242; UBS CENTRO;8099
2037750; UBS BAETA NEVES;8099
2773244; UBS PREFEITO ALBERTO NUNES MARTINS;8092
2786842; UBS CAMPO LIMPO;8084
4050215; UBS V SANTANA;8077
2036002; UBS JARDIM FLOR DA MONTANHA;8063
2788667; UBS UNIAO DAS VILAS DE TAIPAS;8060
2025329; UBS VILA GUIOMAR;8029
2042541; UBS DR JOSE TOLEDO PIZA;8029
2787695; UBS JARDIM PERI;7969
2752212; UBS VILA AURORA DR DOMINGOS MAZZONETO DE CILO;7950
6283616; UBS PARQUE PAULISTANO;7943
5695813; UBS JARDIM MARACA;7936
8605; UBS BAIRRO PARAISO;7923
2052458; UBS EMBARE;7912
2037556; UBS PLANALTO;7901
2751917; AMB ESPEC MOOCA ITALO DOMINGOS LE VOCCI;7887
4050045; UBS J SOARES;7887
2786710; UBS DONA ADELAIDE LOPES;7883
2789051; AMA UBS VILA MEDEIROS;7879
2789167; AMA UBS VILA PEREIRA BARRETO;7831
2025213; PAMO VILA SAO CARLOS;7816
2758288; CENTRO DE SAUDE ESCOLA ESTORIL;7806
2788748; UBS V ARRIETE DECIO PACHECO PEDROSO;7796
2054205; UBS GONZAGA;7768
2058391; HOSPITAL ISRAELITA ALBERT EINSTEIN;7753
2788225; AMA UBS PERUS;7693
2037521; UBS LEBLON;7677
2788217; AMA UBS PAULO VI;7668
8206; UBS SANTA MARIA GORETTI;7647
2787555; AMA UBS JARDIM LADEIRA ROSA;7636
2788071; UBS MARIA CECILIA DONNANGELO;7603
2022656; CENTRO DE SAUDE SAO BERNARDO;7597
4050088; AMA UBS INTEGRADA JD BRASILIA;7590
2064316; CENTRO DE SAUDE MARCIA MENDES SOROCABA;7589
2051400; UBS DRA MARIA JOSE DE ALBUQUERQUE;7583
9172; UBS JARDIM SATELITE;7575
2027526; UBS JARDIM NELIA;7575
2815451; AMA UBS PARQUE FIGUEIRA GRANDE;7536
3810984; UNIDADE BASICA DE SAUDE RIBEIRAO PIRES;7516
2079798; HOSPITAL DAS CLINICAS DA UNICAMP DE CAMPINAS;7512
2746492; UBS ATALAIA DR MARIO AGUIAR FILHO;7489
2046512; CENTRO DE SAUDE I AVARE;7486
2788551; UBS DR SERGIO CHADDAD;7484
2789043; UBS VILA MATILDE DR RUBENS DO VAL;7478
2027690; UBS DONA MARIQUINHA SCIASCIA;7472
8621; UBS PARQUE DAS NACOES;7468
2039400; UBS SARANDI JARDINOPOLIS;7438
2061171; UBS POMPEIA E JOSE MENINO;7423
2788926; UBS VILA GRANADA DR ALFREDO FERREIRA PAULINO FILHO;7417
2788764; UBS VILA BORGES;7411
2040204; UBS CAMPO GRANDE;7354
6592899; AMA UBS INTEGRADA VILA SILVIA;7344
2801205; UBS SERRARIA;7323
4050185; AMA UBS JARDIM ALFREDO;7311
2786885; UBS CHACARA INGLESA;7290
2045354; UBS DEMARCHI;7286
2045176; UBS ALVARENGA;7268
2050048; UBS PAE CARA GUARUJA;7247
2049635; CENTRO DE SAUDE SAO ROQUE DR JOSE CARVALHO BRITO;7243
2031922; UBS ORESTES ARMANDO GIOVANNI;7242
2075202; AMA UBS JARDIM BRASIL;7242
2788306; UBS PQ EDU CHAVES;7237
2045168; UBS TABOAO;7226
2028840; INSTITUTO DE INFECTOLOGIA EMILIO RIBAS SAO PAULO;7211
2037351; UBS VILA EUCLIDES;7205
2067617; USF IVANILDES DA SILVA SANTOS COHAB V;7185
5363179; UNIDADE BASICA DE SAUDE FAZENDA GRANDE;7182
2787350; AMA UBS INTEGRADA JD DAS OLIVEIRAS;7181
2069768; AMBULATORIO DA CRIANCA E ADOLESCENTE;7179
2745682; UBS ESF CS II DR JOSE RIBEIRO FORTES SAO JM DA BARRA;7173
2787318; UBS JARDIM COMERCIAL;7150
2787709; UBS JARDIM REPUBLICA;7132
2046628; UBS JUDITH ANDRADE DOS SANTOS COHAB II;7131
2045338; UBS IPE;7131
2787024; AMA UBS ELISIO TEIXEIRA LEITE;7131
2789078; AMA UBS VILA MISSIONARIA;7117
8532; UBS UTINGA;7111
2787288; UBS JARDIM COIMBRA;7107
2752239; AMA UBS INTEGRADA J INDEPENDENCIA HERMENEGILDO MORBIM JUNIOR;7104
2057891; UBS PARQUE SAO LUCAS;7088
2062658; UBS J MAIA;7085
7986971; UBS ALPHAVILLE TAMBORE;7080
9072349; UBS AUTODROMO DR FAUZER SIMAO ABRAO;7079
2085119; CENTRO DE SAUDE II SERTAOZINHO;7035
2706040; UBS ANTONIO DE PAULA LIMA;7030
6998186; UBS VILA NATAL;7026
2787741; UBS JD ROSELI;7017
2086514; UMSF PARQUE BRASIL;7003
2035847; CENTRO DE SAUDE VILA HARO SOROCABA;6999
2787962; UBS JACANA DR SEBASTIAO GABRIEL SAYAGO DE LAET;6995
4049799; UBS COMENDADOR JOSE GONZALEZ;6990
4049977; UBS CRUZ DAS ALMAS;6990
2789086; UBS VILA MORAES JOAO PAULO BOTELHO VIEIRA;6975
6804845; UBS PORTAO;6966
2042983; UBS EDUARDO ROMANO RESCHILIAN;6966
6260128; UNIDADE MOVEL OFTALMOLOGICA;6963
2773333; SANTA CASA DE GUARAREMA;6957
6377742; UBS VILA CAIUBA;6943
2751828; AMA UBS VILA JOANIZA JOAO YUNES;6942
3738582; UBS CITY JARAGUA;6938
2045427; UBS FARINA;6935
4049853; UBS PQ SAO RAFAEL DR ORA ROSEN;6934
2787784; AMA UBS JARDIM SAO JORGE DR PAULO EDUARDO ELIAS;6860
2074745; CMSC VILA XAVIER JOAO VITOR NASCIMENTO MAURICIO;6847
2787512; UBS JARDIM JAQUELINE;6839
4049810; UBS VILA DAS BELEZAS ALBERTO AMBROSIO;6839
2788470; UBS REAL PARQUE PAULO MANGABEIRA ALBERNAZ FILHO;6823
2752255; UBS ITAQUERA;6809
4049950; UBS JOSE BONIFACIO II CELINA MARIA JOSE DE OLIVEIRA;6800
2788128; UBS MOINHO VELHO II;6780
2716151; CENTRO DE SAUDE II MIRASSOL;6756
2774801; AMA UBS JARDIM IPANEMA;6732
404756; UBS NELSON BORGES LEME;6685
2026988; AMA UBS VILA CALIFORNIA ZEILIVAL BRUSCAGIN;6679
2044226; CENTRO DE SAUDE II UBS MARIO M SILVA F VASCONCELOS;6672
2788209; UBS PAULO FELDMAN NITRO OPERARIA;6653
2788055; UBS LUIZ ERNESTO MAZZONI;6642
2788403; UBS PARQUE RESIDENCIAL COCAIA INDEPENDENTE;6632
2787369; UBS JARDIM ELIANE;6625
2788497; UBS REUNIDAS II;6624
2788802; UBS V CURUCA;6622
2746549; UBS DR EURICO SOUTO CABRAL CENTRAL;6617
3956946; UBS JARDIM OLINDA;6588
2045435; UBS PAULICEIA;6585
2091798; AMA UBS INTEGRADA SITIO DA CASA PINTADA;6584
2788292; UBS PARQUE DOROTEIA;6573
2055449; CENTRO DE SAUDE EDEN SOROCABA SOROCABA;6572
2788780; UBS VILA CHABILANDIA;6563
2023202; CENTRO DE SAUDE VILA IPE;6544
8338; UBS HELENA MARREY;6529
2030276; UBS JARDIM PARAVENTI;6527
2752247; AMA UBS INTEGRADA PROF DR HUMBERTO CERRUTI PQ BOTURUSSU;6509
8680; UBS VILA HELENA;6502
2034646; UBS DO PARQUE SAO VICENTE;6495
2063271; SERVICO ESPECIAL DE SAUDE DE ARARAQUARA SESA ARARAQUARA;6486
4050150; UBS PARELHEIROS;6485
2705257; CLINICA DA FAMILIA HORTOLANDIA;6482
2023199; CENTRO DE SAUDE COSTA E SILVA;6443
7209169; UBS SAO JOAO;6443
2788233; AMA UBS PARQUE ANHANGUERA;6439
8826; UBS JARDIM ALVORADA;6437
2788276; UBS PQ BOA ESPERANCA;6436
2072335; UBS SALVADOR DE LEONE;6431
2788322; AMA UBS PARQUE FERNANDA;6429
2055686; CENTRO DE SAUDE ESCOLA SOROCABA;6413
2042975; UBS OSWALDO MARASCA JUNIOR;6408
2787210; UBS JARDIM BOA VISTA;6397
2789213; UBS VILA PROGRESSO JD MONTE ALEGRE;6397
2054531; UBS VILA FATIMA;6392
9493328; SALA DE VACINA DE IBITINGA;6385
2065266; UBS ERMELINO MATARAZZO;6354
2045311; UBS CAMINHO DO MAR;6346
2773791; UBS VILA SUISSA;6333
2037343; UBS VILA ROSA;6326
9624988; UBS VILA EMA DR FUAD KASSAB;6325
2788772; UBS VILA CARMOSINA;6313
3738663; AMA UBS INTEGRADA FAZENDA DO CARMO;6309
2788195; AMA UBS INTEGRADA PARI;6305
2037386; UBS RUDGE RAMOS;6282
9387854; UBS CENTRAL;6279
6896847; CEM DE ARUJA;6267
2059266; UBS JARDIM FLORIDA;6256
2788896; UBS V FORMOSA II;6253
2774763; UBS ARRASTAO FRANCISCO SCALAMANDRE SOBRINHO;6250
2064162; UNIDADE BASICA DE SAUDE CENTRAL DE PIRACICABA;6247
2788136; UBS MOINHO VELHO;6243
2053497; CENTRO DE SAUDE SAO JOSE DO RIOPARDO;6231
2788837; UBS VILA DIONISIA;6227
2070480; UBS PROF DR JOSE PAULO MARCONDES DE SOUZA VILA VIRGINIA;6221
2786915; UBS CIDADE NOVA SAO MIGUEL;6221
2787768; UBS JARDIM SAO BENTO;6184
6451713; UBS JOSE GROFF;6167
2026961; UBS VILA HELOISA;6167
4049934; UBS JARDIM HELENA;6165
2074079; UBS TEOTONIO VILELA;6153
2083698; USF TEREZINHA MARQUES DA SILVA;6143
2701375; UNIDADE BASICA DE SAUDE CORRUPIRA;6137
2040085; UBS PARQUE CECAP;6134
9377; UBS VILA INDUSTRIAL E TATETUBA;6112
8761; UBS CENTREVILLE MARIA APARECIDA CESARIO DE OLIVEIRA;6107
2040212; UBS MAIS MOURISCO;6107
2787636; UBS JARDIM MITSUTANI;6106
2773392; UBS BRAZ CUBAS;6095
2787628; AMA UBS JARDIM MIRNA;6095
6380417; UBS JARDIM VALQUIRIA;6087
9488413; UBS ENCOSTA NORTE LUIZ JOSE SANTOS;6074
2787806; UBS JARDIM SAO NICOLAU;6056
2064855; UBS AGUA FUNDA;6040
4050134; UBS J N SRA DO CARMO;6016
2084627; UBS SAO RICARDO;6014
9393; UBS PARQUE INDUSTRIAL;6009
2788616; UBS SANTA LUCIA;6002
2097028; UBS PARQUE INDUSTRIAL;5995
2787679; AMA UBS JARDIM PAULISTANO;5992
2023911; UBS HERMELINO LIBERATO FILHO;5978
8397; UBS ODUVALDO MAGLIO;5976
8168; UBS MARIA GATTI GIGLIO;5966
2034778; CENTRO DE SAUDE VILA HORTENCIA SOROCABA;5964
2053594; UBS VILA MAGINI;5956
2774828; AMA UBS INTEGRADA JARDIM TRES MARIAS DR MAURICIO ZAMIJOVSKY;5911
2787458; UBS JARDIM HERCULANO;5899
2788357; UBS PARQUE NOVO MUNDO II;5865
2064413; UBS ALEXANDER FLEMING SIMIONI;5856
2788942; UBS VILA GUARANI;5849
2040670; CENTRO DE SAUDE SAO QUIRINO;5846
2054663; UBS VILA ASSIS BRASIL;5846
4050401; UBS REUNIDAS I;5846
2788160; UBS NOVO JARDIM I;5845
8710; UBS CENTRO DE SAUDE ESCOLA;5825
2051761; UBS ELDORADO SAUDE DA FAMILIA;5820
2788594; AMA UBS MASSAGISTA MARIO AMERICO;5813
2752204; AMA UBS INTEGRADA CANGAIBA DR CARLOS GENTILE DE MELLO;5809
2787520; AMA UBS JARDIM JOAMAR;5801
2789019; UBS VILA JAGUARA;5798
2045303; UBS SILVINA;5781
2041278; UBS REDENCAO PS DR LAURO CORSI;5766
8591; UBS CAMPESTRE;5759
2033313; PAMO BONFIM;5755
2698633; UBS CIAS DR MILTON FERREIRA NEVES;5753
4050029; UBS V REGINA;5748
4050207; UBS V NOVA CURUCA;5742
2787822; UBS JARDIM SAPOPEMBA PROF DR HUMBERTO DELBONI FILHO;5741
2037742; UBS UNIAO;5717
2786400; UBS EMBU;5716
8184; UBS CAROLINA MARIA DE JESUS;5705
5824990; SMS SECRETARIA DE SAUDE DE MOGI DAS CRUZES;5693
2079070; UBS VILA CISPER;5686
2030462; UBS DR MARIO FITTIPALDI;5683
2752182; UBS BRAS DR MANOEL SALDIVA NETO;5682
2801167; UBS JARDIM PAINEIRAS SAUDE DA FAMILIA;5651
2801183; UBS PARQUE REAL SAUDE DA FAMILIA;5650
2046601; UBS FLORISPINA P CARVALHO;5635
2027038; UBS CID SATELITE SANTA BARBARA;5635
2788675; UBS VILA ANASTACIO;5633
2788713; UBS VILA ARAPUA NELSON MORAES;5629
2042932; AMA UBS JARDIM GRIMALDI;5616
4050576; CENTRO DE SAUDE E PA SOROCABA I SOROCABA;5601
2064421; UBS MAMORU KOBAYASHI BONFIM PAULISTA;5582
2746859; UBS DR JOSEPH ALAIN GRIMBERG VILA CRETTI;5581
2056364; UBS JARDIM SANTA CECILIA;5560
2032112; UBS JARDIM SANTISTA;5542
2718766; UBS JARDIM CAIUBY;5527
2045419; UBS ORQUIDEAS;5520
2052318; UBS MORROS;5518
2034654; UBS JARDIM ZAIRA II;5518
8176; UBS NEYDE ALVES DA SILVA;5518
2787482; UBS JD IV CENTENARIO;5516
2716003; USAFA FORTE;5514
2047004; UBS JARDIM SAO SAVERIO AURELIO MELLONE;5504
2750325; CENTRO DE SAUDE II;5501
2062062; UBS VILA GALVAO;5500
2049252; UBS 05 VILA VICENTINA ITU;5495
8672; UBS PARQUE JOAO RAMALHO;5479
2045370; UBS NAZARETH;5474
2026996; AMA UBS INTEGRADA JOSE BONIFACIO I;5472
4049942; UBS JD SAO PEDRO FRANCISCO ANTONIO CESARONI;5471
2079127; HOSPITAL SIRIO LIBANES;5458
2022702; CENTRO DE SAUDE SOUSAS;5457
2096986; UBS VETORAZZO;5452
5479517; UBS JOAQUIM ROSSINI VILA CARIOCA DR MOACIR PARRA;5451
2788284; AMA UBS PARQUE BRISTOL;5428
3992101; UBS CHACARA DO CONDE;5428
2060795; UNIDADE BASICA DE SAUDE CAXAMBU PIRACICABA;5427
2789140; UBS VILA PALMEIRAS;5411
2063670; UBS VILA SABRINA DR CARLOS AUGUSTO AUTRAN PEDERNEIRAS LIMA;5398
2752328; UBS PARQUE ARTHUR ALVIM;5394
2786761; UBS AUGUSTO LEOPOLDO AYROSA GALVAO;5387
2068109; UBS VILA LEONOR;5374
2754851; USAFA JARDIM DOS PASSAROS GUARUJA;5372
2789175; AMA UBS VILA PIAUI;5370
2788721; UBS VILA ARICANDUVA;5365
7616015; UBS JARDIM DAS OLIVEIRAS MARABA;5358
2086530; UMSF JARDIM DAS INDUSTRIAS;5356
2071681; CENTRO DE SAUDE II DR JOSE PAIONE MOCOCA;5352
2787563; UBS JARDIM LIDIA;5351
2788179; UBS PARADA XV DE NOVEMBRO;5313
2864533; UBS JUNDIAPEBA;5312
7252455; HOSPITAL PROFESSORA LYDIA STOROPOLI;5310
2787881; AMA UBS INTEGRADA JARDIM TIETE I OSCAR PEREIRA DA SILVA;5309
2065347; VIGILANCIA EM SAUDE;5298
2036932; CENTRO DE SAUDE I DE ANDRADINA;5296
4050118; UBS JARDIM THOMAS;5295
2037394; UBS FERRAZOPOLIS;5294
2787490; UBS J IVA;5282
8508; UBS DR MOYSES FUCS;5274
2046660; UBS SANTA PAULA PS DR ARSENIO AGNESINE;5267
5272378; VIGILANCIA EPIDEMIOLOGICA DE OSASCO;5261
3551911; VIGILANCIA EPIDEMIOLOGICA;5261
5743583; UBS CIDADE IPAVA;5255
2074699; UBS ELZIR MARIA DE JESUS MENCK;5248
2054493; UBS CIDADE SERODIO;5230
9024; UBS CENTRO II;5229
2086522; UBS PARQUE SANTO ANTONIO;5226
3380866; UNIDADE DE SAUDE DA FAMILIA PARQUE SUBURBANO;5216
2788527; AMA UBS INTEGRADA JD SAO FRANCISCO II;5215
2752263; UBS JARDIM GUAIRACA;5213
2787830; UBS JARDIM SECKLER;5201
2747251; USF IRACEMA MARIA AMELIA PERONDI;5198
7039972; USAFA JARDIM LAS PALMAS JANDUI DE SOUZA MOREIRA GUARUJA;5197
2788314; UBS PARQUE DO ENGENHO II;5197
2788799; UBS V CONSTANCIA VICENTE OCTAVIO GUIDA;5196
2022818; CENTRO DE SAUDE PARQUE DA FIGUEIRA;5194
2801159; UBS JARDIM INAMAR SAUDE DA FAMILIA;5186
2788969; UBS VILA GUILHERMINA DR AMERICO RASPA NETO;5186
2788373; UBS PARQUE PERUCHE;5185
2036010; UBS JUREMA;5170
2701308; UNIDADE BASICA DE SAUDE AGAPEAMA;5164
2049651; CENTRO DE SAUDE II;5157
2788241; AMA UBS ANHANGUERA;5155
2788888; UBS VILA ESPERANCA DR EMILIO SANTIAGO DE OLIVEIRA;5155
2040905; UBS JOSE JOAQUIM BONFIM SERTAOZINHO;5140
3307905; UBS PROF DR JACOB RENATO WOISKI JD JOAO ROSSI;5139
2787717; UBS J ROBRU GUAIANAZES;5126
7936893; USF ANTONIO SIMOES PIMENTEL JANDAIA;5112
2051990; CENTRO DE SAUDE VILA SANTANA SOROCABA;5099
3614948; UBS LUAR DO SERTAO;5087
2039443; UBS VILA NERY PS DR WILSON POZZI;5065
2064820; UBS DR CARLOS OLIVALDO DE SOUZA LOPES MUNIZ PONTE RASA;5042
4050347; UBS CARLOS GENTILE DE MELO;5042
7136617; UBS VILA CANAA;5036
2786982; UBS DOM JOAO NERY;5027
4050037; UBS JARDIM COLORADO DR JOSE PIRES;5004
2061082; UBS JOVAIA;4998
2787946; UBS JARDIM VISTA ALEGRE VANDA APARECIDA DOS SANTOS;4995
3661741; UBS NOVO CAMINHO;4990
2030969; AMA UBS AMERICANOPOLIS;4985
8281; UBS MARIA PIA DE OLIVEIRA;4983
4050177; UBS CASTRO ALVES;4969
2718782; UBS JARDIM ODETE;4968
6392989; UNIDADE DE SAUDE DA FAMILIA WANEL VILLE SOROCABA;4961
2789094; UBS V NOSSA SENHORA APARECIDA;4960
26131; UBS JOSE GUIMARAES DE ABREU;4956
8575; UBS VILA LINDA;4954
3552454; UBS LAURINDA RODOLFO RUBO;4953
2788438; UBS IACAPE JARDIM PLANALTO;4949
2022869; CENTRO DE SAUDE PARANAPANEMA;4947
2063824; UBS DR NORMAN STORTO;4946
6564410; UBS PARAISOPOLIS III;4944
2086743; UBS JARDIM CAICARA;4932
6329527; UBS JARDIM DAS PALMAS;4925
2023881; UBS PEDRO IZZO;4922
7587198; UBS NOVA BONSUCESSO;4920
2027062; UBS VILA RAMOS FREGUESIA DO O;4920
2788365; AMA UBS PARQUE NOVO STO AMARO;4915
5079454; UBS JARDIM CELESTE;4915
2801191; UBS PROMISSAO SAUDE DA FAMILIA;4910
2085879; UBS LARANJEIRAS;4906
2788705; UBS V APARECIDA;4899
2046555; USF VEREADOR MARINO LIMA ARISTON;4882
2046997; UBS V STA CATARINA;4880
2046563; UBS SAO MARCOS;4875
2068044; UBS HORTO FLORESTAL;4863
2815273; UBS ZUMBI DOS PALMARES;4863
2057271; UBS J CAMARGO NOVO;4859
6408168; AMA UBS INTEGRADA AGUIA DE HAIA;4858
9618694; UBS NASCER DO SOL;4858
2773503; UBS JARDIM CAMILA;4856
9343148; UBS SEM TERRA;4856
9040; UBS NOVO HORIZONTE;4848
9415; UBS BOSQUE DOS EUCALIPTOS;4837
2787237; UBS J CAMPOS;4827
2688085; UBS SANTA LUZIA;4819
2690748; UBS DA FAMILIA CENTRO CERQUILHO;4818
2091720; UBS JARDIM FONTALIS;4817
2077396; HOSPITAL DE BASE DE SAO JOSE DO RIO PRETO;4801
2085712; UBS VILA MATHIAS;4800
2049074; UBS ESTACAO;4796
2039427; UBS SANTA FELICIA PS DR BENJAMIM LOPEZ OZORES;4783
2787903; UBS JARDIM TRES CORACOES;4770
2028506; CENTRO DE SAUDE VITAL BRASIL DESCALVADO;4759
2045362; UBS JORDANOPOLIS;4756
